date,close,open,high,low,vol
2014-04-15,40750,40850,41300,40550,34430
2014-04-16,42000,41050,42200,40750,73832
2014-04-17,42200,42350,42500,41900,70455
2014-04-18,42450,42450,42750,42000,56790
2014-04-21,42350,42600,42600,41950,44822
2014-04-22,43150,42400,43700,42400,95846
2014-04-23,42500,43650,43700,42500,47871
2014-04-24,42300,42500,42700,41750,50650
2014-04-25,42300,42600,42650,41500,49651
2014-04-28,42150,41850,42700,41800,39471
2014-04-29,44550,42500,44550,42100,105548
2014-04-30,45500,44800,46200,44800,143403
2014-05-02,46450,45500,47000,45350,79334
2014-05-07,46700,46450,46900,45500,64984
2014-05-08,47650,46450,48150,46450,103092
2014-05-09,47100,48000,48700,46450,88655
2014-05-12,47500,47200,47700,46250,52405
2014-05-13,47550,48000,48100,47100,31169
2014-05-14,45200,47300,47300,44800,306279
2014-05-15,45250,45600,46000,45100,111634
2014-05-16,45900,45300,45950,45200,71375
2014-05-19,45300,45900,46250,44900,105898
2014-05-20,45050,45350,45800,44750,60789
2014-05-21,44600,44500,45100,43650,99763
2014-05-22,44400,45000,45250,44350,45222
2014-05-23,44150,44500,44900,43700,54913
2014-05-26,43150,44100,44450,43150,86662
2014-05-27,42700,43050,43450,41900,117734
2014-05-28,43450,42850,44450,42850,139031
2014-05-29,44300,43450,44400,42400,99194
2014-05-30,44350,44400,44600,43700,44595
2014-06-02,43600,44350,44350,42600,75291
2014-06-03,42500,43500,43750,42450,72254
2014-06-05,40800,42000,42500,40800,90827
2014-06-09,41100,40900,41600,39450,149248
2014-06-10,41950,40500,42550,40500,59590
2014-06-11,41900,42150,42950,41900,47013
2014-06-12,42800,41900,42800,41300,50899
2014-06-13,42800,42450,43050,42250,32929
2014-06-16,43000,42350,43300,42350,31630
2014-06-17,43650,43050,44200,42700,63200
2014-06-18,43350,43800,44400,43000,63233
2014-06-19,43800,43750,44050,42650,63285
2014-06-20,43700,43650,44150,43650,30287
2014-06-23,43700,43700,44200,43600,43528
2014-06-24,43900,43600,44300,43500,48206
2014-06-25,43000,43750,44100,42750,46247
2014-06-26,42200,42950,42950,41250,71858
2014-06-27,42400,42400,42450,40600,71021
2014-06-30,42200,42050,42700,41650,23301
2014-07-01,42200,42450,42450,41700,28008
2014-07-02,42500,42000,42800,41700,63685
2014-07-03,44100,42950,44150,42800,99367
2014-07-04,44050,44550,44650,44050,33183
2014-07-07,44050,44000,44200,43250,38341
2014-07-08,43400,44000,44050,43350,37216
2014-07-09,43550,42950,43550,41700,114258
2014-07-10,45850,43700,45950,43600,179776
2014-07-11,46500,46000,46850,45350,120600
2014-07-14,47500,47000,48050,46600,110436
2014-07-15,47300,47800,48450,46650,121398
2014-07-16,45800,47650,47650,45400,121016
