date,close,open,high,low,vol
2014-04-15,5760,5720,5790,5630,252737
2014-04-16,5750,5760,5820,5690,193359
2014-04-17,5750,5790,5800,5630,188185
2014-04-18,5710,5720,5740,5620,186674
2014-04-21,5650,5710,5710,5490,380278
2014-04-22,5570,5570,5640,5560,135638
2014-04-23,5550,5600,5620,5510,162336
2014-04-24,5660,5570,5660,5440,257452
2014-04-25,5440,5660,5670,5350,491062
2014-04-28,5470,5410,5520,5350,178391
2014-04-29,5500,5480,5550,5460,123086
2014-04-30,5460,5500,5560,5450,95174
2014-05-02,5500,5500,5590,5460,115193
2014-05-07,5570,5580,5690,5530,340607
2014-05-08,5650,5570,5680,5540,260203
2014-05-09,5650,5650,5660,5530,233192
2014-05-12,5600,5680,5680,5510,230153
2014-05-13,5700,5600,5760,5570,512500
2014-05-14,5840,5730,5940,5630,498155
2014-05-15,5850,5820,5980,5800,434742
2014-05-16,5840,5850,5920,5750,171033
2014-05-19,5720,5870,5920,5700,257447
2014-05-20,5940,5720,5940,5520,488303
2014-05-21,6090,5940,6190,5930,575999
2014-05-22,6130,6130,6240,6040,447757
2014-05-23,6140,6120,6210,6000,496536
2014-05-26,6140,6090,6160,6050,245381
2014-05-27,6100,6130,6220,6050,181472
2014-05-28,6100,6170,6170,6070,136358
2014-05-29,6100,6120,6160,6060,121062
2014-05-30,6100,6150,6150,5990,206737
2014-06-02,5900,6050,6060,5720,479262
2014-06-03,5790,5840,5900,5680,210211
2014-06-05,5800,5780,5890,5680,165375
2014-06-09,5810,5730,5840,5700,123103
2014-06-10,5780,5840,5840,5750,72514
2014-06-11,5930,5750,5980,5750,137103
2014-06-12,6000,5970,6030,5890,100414
2014-06-13,5940,5980,5980,5890,91340
2014-06-16,5900,5970,6050,5900,120676
2014-06-17,5950,5900,5960,5850,121069
2014-06-18,6000,5920,6000,5900,60829
2014-06-19,5900,6000,6020,5900,148059
2014-06-20,5850,5900,5980,5800,71446
2014-06-23,5800,5930,5930,5670,141912
2014-06-24,5650,5730,5820,5610,160719
2014-06-25,5550,5610,5700,5550,169900
2014-06-26,5550,5520,5600,5520,77844
2014-06-27,5590,5600,5650,5520,74077
2014-06-30,5590,5660,5660,5500,96265
2014-07-01,5550,5540,5610,5500,63900
2014-07-02,5760,5590,5840,5580,165429
2014-07-03,5790,5750,5800,5740,47747
2014-07-04,5750,5830,5850,5690,81864
2014-07-07,5700,5740,5780,5640,85535
2014-07-08,5500,5700,5750,5340,218659
2014-07-09,5750,5450,5750,5450,128385
2014-07-10,5700,5690,5790,5660,74512
2014-07-11,5650,5670,5750,5580,82034
2014-07-14,6000,5660,6010,5550,390325
2014-07-15,5910,6050,6110,5900,206814
2014-07-16,5940,5930,5980,5810,134135
2014-07-17,5800,5920,5940,5790,186639
2014-07-18,5740,5750,5800,5650,171339
2014-07-21,5700,5730,5800,5650,96837
2014-07-22,5700,5690,5740,5590,107120
2014-07-23,5610,5750,5750,5570,114632
2014-07-24,5520,5600,5600,5310,382604
2014-07-25,5450,5520,5520,5420,55042
2014-07-28,5360,5420,5480,5290,120089
2014-07-29,5360,5330,5460,5180,182092
2014-07-30,5370,5430,5430,5220,76763
2014-07-31,5290,5280,5380,5100,138162
2014-08-01,5290,5200,5290,5150,149480
2014-08-04,5310,5250,5340,5190,65266
2014-08-05,5250,5300,5310,5230,47190
2014-08-06,5240,5250,5270,5170,54058
2014-08-07,5240,5220,5270,5200,38909
2014-08-08,5090,5200,5330,4985,205930
2014-08-11,4885,5030,5160,4885,227956
2014-08-12,4940,4930,5000,4850,153591
2014-08-13,4940,4910,4980,4865,72677
2014-08-14,4975,4930,4980,4880,151410
2014-08-18,5050,5070,5230,4950,124987
2014-08-19,4995,5030,5050,4910,119182
2014-08-20,5000,4970,5010,4935,96320
2014-08-21,5070,4975,5090,4970,118648
2014-08-22,5050,5040,5090,4960,136087
2014-08-25,5030,5010,5050,4965,52567
2014-08-26,5360,5030,5380,5030,360869
2014-08-27,5300,5400,5400,5220,147580
2014-08-28,5250,5250,5320,5220,77282
2014-08-29,5250,5230,5320,5150,69778
2014-09-01,5180,5300,5300,5140,53340
2014-09-02,5040,5150,5200,5000,145406
2014-09-03,5030,5000,5050,4950,138144
2014-09-04,5000,5000,5010,4960,101340
2014-09-05,4980,4980,5010,4945,156620
2014-09-11,5120,4950,5160,4950,101904
2014-09-12,5090,5080,5120,5040,55068
2014-09-15,4995,5060,5080,4995,73767
2014-09-16,5000,4990,5030,4930,282685
2014-09-17,5020,4985,5040,4970,86375
2014-09-18,4990,4990,5030,4955,69929
2014-09-19,4985,4970,5000,4930,117864
2014-09-22,4935,4990,4990,4935,63167
2014-09-23,4910,4930,4955,4890,82380
2014-09-24,4945,4880,4945,4855,44705
2014-09-25,4940,4910,4955,4910,53402
2014-09-26,4900,4930,4955,4885,51258
2014-09-29,4875,4900,4945,4850,60731
2014-09-30,4815,4850,4915,4815,64440
2014-10-01,4990,4815,5120,4790,198990
2014-10-02,5140,5010,5230,4930,186477
2014-10-06,5150,5190,5190,5080,62990
2014-10-07,5150,5150,5200,5050,51918
2014-10-08,5300,5040,5350,5040,169952
2014-10-10,5220,5240,5350,5150,111961
2014-10-13,5170,5100,5200,4980,115489
2014-10-14,5190,5060,5190,5060,43847
2014-10-15,5200,5150,5280,5100,37533
2014-10-16,5180,5140,5180,5100,47128
2014-10-17,5300,5150,5440,5150,179929
2014-10-20,5390,5330,5450,5260,81982
2014-10-21,5490,5340,5550,5310,190649
2014-10-22,5710,5480,5800,5450,236276
2014-10-23,5600,5630,5700,5550,87301
2014-10-24,5550,5580,5680,5490,76198
2014-10-27,5540,5550,5730,5540,114082
2014-10-28,5560,5540,5600,5510,58816
2014-10-29,5540,5560,5670,5450,59919
2014-10-30,5590,5510,5590,5430,52691
2014-10-31,5600,5620,5650,5550,44443
2014-11-03,5600,5600,5690,5550,42996
2014-11-04,5560,5570,5710,5480,72388
2014-11-05,5540,5520,5650,5520,30736
2014-11-06,5620,5540,5710,5540,111576
2014-11-07,5950,5640,6020,5630,276913
2014-11-10,5940,5920,6000,5850,193183
2014-11-11,5950,5940,6050,5900,237694
2014-11-12,5940,5920,6030,5900,330939
2014-11-13,5930,5940,5970,5850,230111
2014-11-14,5800,5870,5870,5680,1124240
2014-11-17,5500,5870,5870,5500,148791
2014-11-18,5360,5490,5570,5300,181589
2014-11-19,5590,5330,5670,5280,212939
2014-11-20,5630,5590,5680,5500,52982
2014-11-21,5620,5610,5640,5510,31410
2014-11-24,5550,5590,5620,5510,25014
2014-11-25,5530,5520,5600,5470,27277
2014-11-26,5550,5530,5670,5520,45789
2014-11-27,5530,5520,5640,5430,32173
2014-11-28,5340,5530,5590,5280,129139
2014-12-01,5340,5330,5420,5220,45757
2014-12-02,5530,5260,5560,5260,56909
2014-12-03,5550,5500,5610,5480,53776
2014-12-04,5590,5490,5610,5490,29482
2014-12-05,5510,5560,5590,5400,50836
2014-12-08,5450,5510,5530,5430,30501
2014-12-09,5490,5450,5500,5400,41960
2014-12-10,5390,5430,5490,5260,91841
2014-12-11,5350,5310,5370,5250,43146
2014-12-12,5460,5350,5520,5320,53294
2014-12-15,5500,5370,5500,5360,20439
2014-12-16,5320,5400,5490,5250,80775
2014-12-17,5320,5270,5350,5250,28482
2014-12-18,5370,5320,5430,5250,41156
2014-12-19,5310,5370,5370,5260,32152
2014-12-22,5250,5260,5330,5230,48222
2014-12-23,5380,5260,5580,5260,184377
2014-12-24,5440,5360,5480,5360,110619
2014-12-26,5440,5390,5480,5340,117694
2014-12-29,5280,5340,5410,5280,57061
2014-12-30,5300,5280,5300,5230,33941
2015-01-02,5260,5380,5380,5180,76581
2015-01-05,5230,5260,5350,5200,52002
2015-01-06,5080,5160,5250,5050,99403
2015-01-07,5100,5080,5130,5040,49856
2015-01-08,5300,5080,5350,5080,54736
2015-01-09,5350,5280,5360,5260,28176
2015-01-12,5380,5320,5390,5260,67207
2015-01-13,5410,5300,5500,5300,95631
2015-01-14,5620,5370,5690,5370,162144
2015-01-15,5640,5560,5670,5560,55685
2015-01-16,5650,5620,5690,5550,61505
2015-01-19,5670,5690,5690,5580,44690
2015-01-20,5780,5670,5830,5670,133114
2015-01-21,5780,5780,5830,5680,46189
2015-01-22,5700,5770,5770,5560,79813
