date,close,open,high,low,vol
2014-04-15,86700,84500,86900,84500,38703
2014-04-16,86100,85800,86700,85100,15056
2014-04-17,87100,86100,88400,85600,26024
2014-04-18,87000,87200,87500,86600,17368
2014-04-21,87000,87000,87600,85900,12498
2014-04-22,86100,86600,87200,85700,13722
2014-04-23,84000,85600,86200,84000,11095
2014-04-24,84800,83600,85200,83200,10180
2014-04-25,85000,85500,85500,83800,9420
2014-04-28,85200,84600,85300,84200,5700
2014-04-29,87900,85600,88100,85200,26069
2014-04-30,89900,88100,90500,88100,37062
2014-05-02,89400,89900,90300,89200,9692
2014-05-07,90300,89900,90300,88500,24157
2014-05-08,90800,90400,90900,88100,17096
2014-05-09,88700,90800,90800,88700,11977
2014-05-12,88200,88600,89000,87900,11068
2014-05-13,88100,88400,88600,86900,13877
2014-05-14,88800,88100,88900,87500,8282
2014-05-15,89000,89100,89100,87800,3846
2014-05-16,91500,89800,92900,89800,52459
2014-05-19,92000,92400,92400,90700,12618
2014-05-20,90500,92000,92000,87300,24510
2014-05-21,91000,90700,91700,88800,10555
2014-05-22,89000,90100,91100,88700,14236
2014-05-23,88800,89000,89200,88100,14443
2014-05-26,87400,88700,89300,87400,15141
2014-05-27,87000,88000,88000,86300,16567
2014-05-28,90900,87200,91200,86200,34604
2014-05-29,90300,89900,91500,89300,28774
2014-05-30,89100,89700,90400,87000,19344
2014-06-02,88800,89100,89300,88000,9960
2014-06-03,88600,88000,88800,87800,22009
2014-06-05,88700,88700,89100,87500,17916
2014-06-09,89300,88600,89500,87900,30706
2014-06-10,89300,89300,91000,88600,28412
2014-06-11,89800,90500,90700,88800,21605
2014-06-12,89700,90900,90900,88800,11173
2014-06-13,88000,89700,90000,87800,25349
2014-06-16,87900,88300,88800,87600,17245
2014-06-17,88300,88200,88400,87000,88122
2014-06-18,91600,88300,91900,87800,45919
2014-06-19,92400,92000,93000,90700,54795
2014-06-20,96200,92400,99000,92300,78245
2014-06-23,96700,96400,99200,95000,34845
2014-06-24,95600,95800,97000,94700,17936
2014-06-25,94700,96000,96000,93400,41149
2014-06-26,95200,94700,95800,94100,14737
2014-06-27,96200,94600,96200,94200,16259
2014-06-30,96100,96800,96900,94700,15432
2014-07-01,96300,96000,98300,95100,14994
2014-07-02,97900,96000,98200,96000,16957
2014-07-03,101500,97900,102000,96300,30613
2014-07-04,101500,100000,102500,100000,30899
2014-07-07,101500,101000,102500,99900,18903
2014-07-08,98000,100500,101500,97000,48136
2014-07-09,98600,98000,99900,97300,30741
2014-07-10,95200,98300,99300,95200,48600
2014-07-11,96900,94700,97500,92800,39669
2014-07-14,98200,96900,98900,96100,24972
2014-07-15,97900,98500,99000,97200,15940
2014-07-16,94600,97100,98900,93400,26421
2014-07-17,92500,94000,94100,91400,57092
2014-07-18,92400,91900,92900,91400,22512
2014-07-21,93200,92500,93200,92000,14361
2014-07-22,94200,93200,94200,92000,15556
2014-07-23,95000,94200,96700,94200,30393
2014-07-24,93600,96000,96400,93100,21589
2014-07-25,95900,95000,95900,93600,28391
2014-07-28,92800,95700,95700,92600,28741
2014-07-29,91800,92800,93800,87500,44888
2014-07-30,90600,91700,91700,89600,36634
2014-07-31,90400,89700,91300,89300,24932
2014-08-01,90300,89800,91300,88700,100926
2014-08-04,90900,90300,91400,90300,20664
2014-08-05,90000,91700,92300,89300,35206
2014-08-06,88800,90300,90800,87900,37459
2014-08-07,87800,88800,89000,87100,40686
2014-08-08,88700,87300,88800,87300,22390
2014-08-11,89400,88300,89400,87300,21723
2014-08-12,88900,88600,89600,87500,42167
2014-08-13,90100,89000,90400,88000,50962
2014-08-14,90100,90700,90700,88300,22239
2014-08-18,92900,89200,92900,89200,25924
2014-08-19,95100,93200,95900,92900,73252
2014-08-20,94800,94400,96900,94100,35641
2014-08-21,96300,94800,98100,94800,42859
2014-08-22,97700,96800,98900,96400,33145
2014-08-25,98400,99400,100500,98200,33771
2014-08-26,98600,98600,100000,98100,27112
2014-08-27,98200,98600,99600,98100,32115
2014-08-28,99500,97500,99500,97100,24015
2014-08-29,101000,99400,101000,99000,38070
2014-09-01,105500,101000,106000,98300,41981
2014-09-02,104500,106500,107500,103500,51049
2014-09-03,104000,105500,105500,103000,13334
2014-09-04,103500,104000,106000,101500,16979
2014-09-05,104500,103000,106000,102000,12133
2014-09-11,104500,105500,106000,103500,16076
2014-09-12,100500,104500,106000,99800,17578
2014-09-15,100500,100500,103000,100000,8071
2014-09-16,105000,101000,105000,100000,8877
2014-09-17,104000,106500,106500,102500,9884
2014-09-18,101500,104000,104000,101000,21113
2014-09-19,105000,103500,105000,101500,25089
2014-09-22,104000,105000,107000,103500,40687
2014-09-23,102500,103000,104000,101500,43061
2014-09-24,109000,102000,109500,102000,48583
2014-09-25,110500,109000,112000,108500,77307
2014-09-26,114500,110500,115500,109500,63728
2014-09-29,113500,114500,116000,111500,34021
2014-09-30,118000,114500,118500,114500,48001
2014-10-01,114000,120000,120500,113500,46381
2014-10-02,115500,114000,116500,113500,29302
2014-10-06,113500,116000,116500,111500,43291
2014-10-07,113500,114000,115000,112000,17304
2014-10-08,117000,112500,117000,112000,29605
2014-10-10,113500,116000,117000,110500,26932
2014-10-13,112000,113000,114500,108500,46033
2014-10-14,112500,111000,113000,109000,32078
2014-10-15,112500,111000,113500,108500,29134
2014-10-16,111500,110500,115000,109000,48078
2014-10-17,111000,111500,114000,110000,27006
2014-10-20,108500,111000,111500,107000,30295
2014-10-21,110000,108500,112500,108000,21254
2014-10-22,111500,110000,113000,109000,21884
2014-10-23,112500,111000,113500,110000,16427
2014-10-24,108000,111500,112500,107000,38788
2014-10-27,111000,108500,111500,108500,14325
2014-10-28,109500,110500,112000,108500,9878
2014-10-29,110000,109500,112500,109000,15385
2014-10-30,111000,109000,111000,108000,23451
2014-10-31,111500,112000,113000,109000,25382
2014-11-03,112500,111000,113500,110000,35708
2014-11-04,109000,113000,113000,107500,19591
2014-11-05,110500,108000,113000,107000,21998
2014-11-06,108000,112000,112000,105000,29464
2014-11-07,105500,108500,108500,104000,28523
2014-11-10,105000,106000,106000,103500,25672
2014-11-11,106500,103500,107000,102500,19100
2014-11-12,105500,106500,106500,103500,23303
2014-11-13,108000,106000,108500,104000,24241
2014-11-14,107500,109500,109500,104500,22539
2014-11-17,106000,107000,108000,103500,22554
2014-11-18,112000,106500,112000,105500,38218
2014-11-19,112500,111000,113000,110000,14112
2014-11-20,111500,112500,113000,108500,36329
2014-11-21,111000,111500,112500,106500,52084
2014-11-24,105000,109500,111000,104500,51066
2014-11-25,105000,105000,106000,103000,38551
2014-11-26,105000,105000,106000,103500,30083
2014-11-27,104500,105500,105500,103500,13209
2014-11-28,104500,104500,105500,102000,21486
2014-12-01,107000,104000,108000,103000,21426
2014-12-02,103500,107500,107500,103500,30247
2014-12-03,105500,103500,106000,103000,48497
2014-12-04,103000,105000,107000,102500,40372
2014-12-05,103000,102500,104500,101000,34278
2014-12-08,104500,103000,105500,103000,27780
2014-12-09,109500,105500,109500,103500,63688
2014-12-10,108500,108500,109500,107500,14938
2014-12-11,108000,108500,109000,105500,24421
2014-12-12,105500,106500,109000,105500,11588
2014-12-15,107500,106500,108500,104500,16891
2014-12-16,110000,106000,111500,106000,26218
2014-12-17,110000,110000,111000,109000,15779
2014-12-18,108500,109500,111000,105500,32970
2014-12-19,110000,108500,113000,108000,28623
2014-12-22,110000,111500,113500,109000,17490
2014-12-23,112000,112000,113000,110000,20474
2014-12-24,112000,111000,113500,110000,13741
2014-12-26,111500,111500,112500,110000,8334
2014-12-29,111500,112000,112000,110000,6264
2014-12-30,111500,111500,112500,110000,31968
2015-01-02,112500,111500,112500,110000,15763
2015-01-05,116000,112500,116000,112000,35345
