date,close,open,high,low,vol
2014-04-15,9250,9260,9330,9140,62323
2014-04-16,9360,9260,9420,9260,75060
2014-04-17,9320,9450,9450,9220,44733
2014-04-18,9180,9350,9350,9120,77685
2014-04-21,9150,9150,9200,9140,19884
2014-04-22,9190,9200,9270,9130,26945
2014-04-23,9000,9250,9250,9000,83919
2014-04-24,8860,9000,9100,8730,43909
2014-04-25,8820,8930,9020,8790,36977
2014-04-28,8830,8800,8930,8800,32416
2014-04-29,8970,8820,9000,8820,34373
2014-04-30,8970,8990,9070,8920,44991
2014-05-02,8950,8960,9050,8850,28150
2014-05-07,8870,8970,8990,8650,37408
2014-05-08,8890,8870,8920,8730,21198
2014-05-09,8860,8880,9020,8830,32716
2014-05-12,8820,8890,9040,8770,47485
2014-05-13,8760,8910,8910,8590,81992
2014-05-14,8760,8760,8820,8660,37527
2014-05-15,8870,8770,8880,8730,42773
2014-05-16,8840,8710,8870,8630,71022
2014-05-19,8700,8880,8890,8650,69621
2014-05-20,8640,8690,8750,8500,48264
2014-05-21,8610,8570,8750,8560,22730
2014-05-22,8540,8610,8690,8540,25522
2014-05-23,8600,8600,8700,8550,24482
2014-05-26,8680,8690,8690,8620,23928
2014-05-27,8420,8710,8710,8370,57321
2014-05-28,8200,8420,8630,8170,65660
2014-05-29,8270,8270,8440,8200,36187
2014-05-30,8240,8280,8320,8060,69322
2014-06-02,7990,8240,8240,7950,59822
2014-06-03,8000,8080,8080,7890,34261
2014-06-05,7900,8000,8060,7860,36915
2014-06-09,8050,7910,8080,7890,49911
2014-06-10,8150,8050,8150,7980,31034
2014-06-11,8280,8150,8280,8140,36021
2014-06-12,8270,8270,8270,8120,11055
2014-06-13,8320,8200,8370,8150,24029
2014-06-16,8420,8260,8420,8260,55633
2014-06-17,8400,8370,8460,8350,23612
2014-06-18,8370,8480,8480,8320,8191
2014-06-19,8350,8360,8410,8300,20460
2014-06-20,8180,8260,8320,8170,19711
2014-06-23,8150,8180,8290,8100,23896
2014-06-24,8150,8160,8230,8090,35818
2014-06-25,8290,8140,8330,8130,29067
2014-06-26,8410,8290,8430,8290,21838
2014-06-27,8480,8440,8540,8330,61053
2014-06-30,8600,8540,8630,8500,38554
2014-07-01,8610,8650,8670,8550,57581
