date,close,open,high,low,vol
2014-04-15,9340,9430,9510,9300,894637
2014-04-16,9340,9400,9400,9190,756811
2014-04-17,9230,9390,9470,9150,1028605
2014-04-18,10300,9400,10500,9330,6786982
2014-04-21,10450,10400,10450,10150,2412301
2014-04-22,10500,10450,10600,10250,1478811
2014-04-23,10450,10500,11000,10400,2685100
2014-04-24,10200,10600,10600,10000,1677193
2014-04-25,10350,10300,10450,10150,919285
2014-04-28,10200,10250,10400,10150,553618
2014-04-29,10150,10200,10300,9960,978935
2014-04-30,10300,10250,10600,10200,1541392
2014-05-02,10400,10400,10600,10350,1007504
2014-05-07,10600,10450,10800,10450,1377213
2014-05-08,10450,10650,10700,10100,1382257
2014-05-09,10600,10650,10850,10500,1993325
2014-05-12,10350,10500,10550,10250,847359
2014-05-13,10950,10400,10950,10400,2383736
2014-05-14,10650,10900,10900,10600,1166909
2014-05-15,10400,10700,10750,10350,903113
2014-05-16,10350,10400,10500,10250,695409
2014-05-19,10850,10450,11000,10400,2503558
2014-05-20,10950,10950,11100,10650,1199305
2014-05-21,10800,10850,10900,10650,530458
2014-05-22,10650,10850,10850,10300,1338756
2014-05-23,11300,10850,11400,10800,4004111
2014-05-26,11400,11300,11500,11200,1062006
2014-05-27,11650,11500,11700,11400,1301841
2014-05-28,11650,11600,11650,11400,822184
2014-05-29,11800,11650,11800,11500,699549
2014-05-30,11600,11650,11750,11400,974975
2014-06-02,11450,11550,11700,11250,543982
2014-06-03,11850,11600,12150,11550,2038341
2014-06-05,11900,11850,11900,11600,605698
2014-06-09,11950,11950,12000,11650,558448
2014-06-10,12300,11950,12300,11900,988171
2014-06-11,12000,12250,12300,12000,529164
2014-06-12,12300,11950,12300,11950,846968
2014-06-13,12450,12300,12450,12100,543649
2014-06-16,12050,12500,12550,12050,760962
2014-06-17,12450,12050,12550,12050,641891
2014-06-18,12250,12500,12550,12250,418328
2014-06-19,12450,12350,12450,12150,428897
2014-06-20,12200,12450,12450,12200,355742
2014-06-23,12200,12300,12350,11750,804160
2014-06-24,12100,12250,12300,11900,585047
2014-06-25,11900,12050,12150,11900,419206
2014-06-26,11750,11900,12150,11500,892385
2014-06-27,11550,11700,11750,11300,1083924
2014-06-30,11600,11550,11700,11350,645992
2014-07-01,11600,11600,11700,11400,724734
2014-07-02,11350,11600,11650,11350,1054932
2014-07-03,12950,11500,13000,11500,4658751
