date,close,open,high,low,vol
2014-04-15,7400,7200,7480,7160,143958
2014-04-16,7460,7410,7530,7360,64762
2014-04-17,7450,7490,7540,7390,48154
2014-04-18,7390,7450,7490,7330,57111
2014-04-21,7470,7400,7480,7300,39362
2014-04-22,7480,7490,7600,7380,63331
2014-04-23,7480,7570,7570,7380,79604
2014-04-24,7350,7480,7480,7250,50971
2014-04-25,7180,7310,7380,7180,56786
2014-04-28,7180,7250,7260,7150,46182
2014-04-29,7180,7180,7360,7120,38557
2014-04-30,7250,7200,7260,7150,24023
2014-05-02,7180,7270,7300,7110,45994
2014-05-07,7110,7200,7280,6950,80948
2014-05-08,7140,7040,7160,6970,27322
2014-05-09,7120,7140,7140,7000,19637
2014-05-12,7080,7120,7120,6980,46197
2014-05-13,7140,7040,7200,7030,16165
2014-05-14,7160,7150,7240,6970,138525
2014-05-15,7170,7150,7220,7060,76582
2014-05-16,7140,7120,7170,7000,46745
2014-05-19,7040,7070,7250,7020,26115
2014-05-20,7030,6970,7070,6830,104412
2014-05-21,7000,7000,7040,6930,25584
2014-05-22,7030,7050,7050,6940,26422
2014-05-23,7430,7070,7530,7000,146391
2014-05-26,7960,7430,7960,7360,465720
2014-05-27,7840,7910,8100,7710,195202
2014-05-28,8280,7830,8280,7760,244517
2014-05-29,8470,8280,8700,8200,288254
2014-05-30,8290,8490,8490,8170,142821
2014-06-02,7700,8290,8290,7620,215273
2014-06-03,7860,7650,7990,7470,140093
2014-06-05,7540,7850,7940,7430,118846
2014-06-09,7480,7470,7550,7290,95696
2014-06-10,7680,7480,7730,7480,115657
2014-06-11,8130,7750,8350,7680,220245
2014-06-12,8100,8150,8290,7900,80019
2014-06-13,8000,8190,8200,7960,77521
2014-06-16,8010,7900,8130,7770,73579
2014-06-17,8090,8140,8440,8040,180227
2014-06-18,8050,8140,8230,7900,77161
2014-06-19,7950,7970,8060,7850,50900
2014-06-20,8030,8020,8040,7850,34262
2014-06-23,7980,7920,8020,7900,37721
2014-06-24,7830,7980,7980,7720,45892
2014-06-25,7930,7750,7990,7740,28995
2014-06-26,7920,7900,8000,7800,30975
2014-06-27,7840,7830,7990,7780,29369
2014-06-30,7820,7840,7890,7720,18783
2014-07-01,8150,7800,8280,7800,92656
