date,close,open,high,low,vol
2014-04-15,9190,9050,9200,8970,26627
2014-04-16,9230,9180,9250,9060,8890
2014-04-17,9150,9250,9390,9110,6788
2014-04-18,9270,9150,9380,9140,8608
2014-04-21,9230,9340,9450,9200,6770
2014-04-22,9220,9230,9270,9100,33740
2014-04-23,9200,9220,9280,9060,29568
2014-04-24,9170,9200,9250,9030,20905
2014-04-25,9200,9120,9200,9080,12588
2014-04-28,9220,9200,9230,9060,19117
2014-04-29,9190,9200,9300,9150,6572
2014-04-30,9290,9250,9350,9080,11005
2014-05-02,9260,9490,9490,9250,8656
2014-05-07,9200,9260,9310,9100,5281
2014-05-08,9080,9250,9260,9030,10439
2014-05-09,9230,9080,9370,9080,8945
2014-05-12,9300,9230,9380,9230,7956
2014-05-13,9490,9310,9490,9280,14182
2014-05-14,9750,9400,9950,9400,24051
2014-05-15,10000,9750,10000,9720,19689
2014-05-16,10100,9920,10100,9870,15470
2014-05-19,10050,10100,10200,9550,23172
2014-05-20,9860,10000,10100,9800,10185
2014-05-21,10100,9810,10100,9810,11788
2014-05-22,10100,10050,10200,9970,13520
2014-05-23,10150,10000,10300,10000,14137
2014-05-26,10100,10150,10300,9920,11414
2014-05-27,10100,10000,10300,10000,15772
2014-05-28,10200,10150,10250,9990,10842
2014-05-29,10150,10100,10500,9930,22740
2014-05-30,10150,10200,10300,9920,18220
2014-06-02,10700,10150,10800,10050,57777
2014-06-03,10900,10750,11100,10350,38994
2014-06-05,10900,10900,11050,10700,23172
2014-06-09,10900,10800,10900,10600,14778
2014-06-10,10950,11000,11100,10700,16488
2014-06-11,10900,10850,11100,10700,14163
2014-06-12,10700,10850,10950,10600,15723
2014-06-13,10750,10700,10800,10500,13982
2014-06-16,10750,10900,10950,10700,17716
2014-06-17,10800,10950,10950,10750,9432
2014-06-18,10350,10800,10800,10350,34954
2014-06-19,10500,10450,10700,10100,44806
2014-06-20,10250,10600,10600,10000,56098
2014-06-23,10450,10250,10650,10250,25571
2014-06-24,10600,10450,10600,10350,22845
2014-06-25,10600,10800,10800,10450,24900
2014-06-26,11000,10600,11000,10500,44172
2014-06-27,10950,11300,11300,10700,24153
2014-06-30,10800,11000,11200,10800,30354
2014-07-01,10950,10750,11150,10700,29416
2014-07-02,11500,10950,11600,10900,51166
2014-07-03,11500,11550,11750,11150,50103
2014-07-04,11450,11650,11650,11200,34760
2014-07-07,11550,11450,11600,11300,25466
2014-07-08,12100,11400,12100,11250,76476
2014-07-09,12350,11900,12350,11900,48351
2014-07-10,12500,12200,12500,12100,32732
2014-07-11,12700,12500,12700,12200,24101
2014-07-14,12750,12700,12750,12500,26703
2014-07-15,12300,13000,13000,12200,52635
2014-07-16,12550,12200,12650,11750,56188
2014-07-17,12900,12450,12950,12350,35387
2014-07-18,13100,12750,13100,12350,32989
2014-07-21,13500,13100,13500,12750,61628
2014-07-22,13550,13500,13550,13300,39261
2014-07-23,12950,13550,13600,12950,69257
2014-07-24,12950,12950,13450,12600,60991
2014-07-25,13050,13050,13100,12800,38614
2014-07-28,13050,12700,13100,12500,56208
2014-07-29,13000,13000,13100,12700,23073
2014-07-30,12700,13050,13050,12550,67718
2014-07-31,12900,12700,12900,11950,45479
2014-08-01,13350,12850,13400,12650,37871
2014-08-04,13700,13350,13750,13300,58276
2014-08-05,13550,13800,13850,13400,40692
2014-08-06,13700,13550,13900,13100,48392
2014-08-07,13600,13700,13850,13400,19987
2014-08-08,13650,13450,13650,13150,25482
2014-08-11,13650,13600,14100,13300,22469
2014-08-12,13700,13700,13850,13350,18947
2014-08-13,13700,13800,14200,13550,36229
2014-08-14,13600,13950,13950,13550,6606
2014-08-18,13600,13900,13950,13550,17495
2014-08-19,13500,13550,13600,13250,26724
2014-08-20,13600,13500,13700,13100,37792
2014-08-21,13350,13600,13650,13350,12494
2014-08-22,13300,13400,13750,13300,32114
