date,close,open,high,low,vol
2014-04-15,21050,21300,21300,20700,221615
2014-04-16,21700,21050,21700,20850,258718
2014-04-17,21400,21750,22000,21250,242944
2014-04-18,21650,21600,21950,21400,125454
2014-04-21,21600,21850,21850,21350,80029
2014-04-22,21450,21750,21750,21250,81485
2014-04-23,21650,21450,21850,21300,156683
2014-04-24,21100,21550,21650,18650,141086
2014-04-25,21150,21000,21300,20800,121929
2014-04-28,21500,21200,21700,21200,82530
2014-04-29,21250,21450,21650,21250,78395
2014-04-30,21100,21250,21450,20750,125949
2014-05-02,19500,21200,21250,19150,377794
2014-05-07,20450,19600,20450,19550,288635
2014-05-08,20400,20250,20400,19550,181161
2014-05-09,19600,20100,20300,19600,163698
2014-05-12,19250,19800,19800,19200,154622
2014-05-13,19800,19300,20550,19250,253341
2014-05-14,20150,19800,20150,19500,135427
2014-05-15,20550,20300,20800,20300,140066
2014-05-16,19800,20350,20650,19700,182800
2014-05-19,19800,19950,20250,19750,129643
2014-05-20,20600,19850,20600,19850,237469
2014-05-21,20450,20450,20700,20150,142119
2014-05-22,20100,20500,20550,19900,188391
2014-05-23,21400,20300,21400,20100,358497
2014-05-26,21600,21600,22000,21350,219855
2014-05-27,22000,21600,22500,21600,268255
2014-05-28,21550,21850,21950,21250,193643
2014-05-29,22100,21550,22400,21350,212202
2014-05-30,22100,22100,22400,21650,165821
2014-06-02,22600,23000,23500,22250,330712
2014-06-03,22600,22550,22600,21500,256201
2014-06-05,22150,22400,22650,21850,182000
2014-06-09,22700,22100,22750,21900,142575
2014-06-10,22600,22600,22800,22300,150413
2014-06-11,22500,22550,22950,22450,254768
2014-06-12,22950,22250,22950,22150,141953
2014-06-13,22000,22700,22850,21650,400002
2014-06-16,21600,22050,22050,21300,209877
2014-06-17,22150,21700,22400,21650,210196
2014-06-18,21650,22250,22600,21600,179868
2014-06-19,21100,21650,21850,20950,240282
2014-06-20,21100,21150,21650,21050,182288
2014-06-23,20500,21250,21450,20500,268409
2014-06-24,19650,20500,20600,19600,376111
2014-06-25,20050,19700,20650,19650,333627
2014-06-26,21150,19950,21150,19850,636731
2014-06-27,21150,0,0,0,0
2014-06-30,21150,0,0,0,0
2014-07-01,21150,0,0,0,0
2014-07-02,21150,0,0,0,0
2014-07-03,21150,0,0,0,0
2014-07-04,21150,0,0,0,0
2014-07-07,21150,0,0,0,0
2014-07-08,21150,0,0,0,0
2014-07-09,21150,0,0,0,0
2014-07-10,21150,0,0,0,0
2014-07-11,21150,0,0,0,0
2014-07-14,21150,0,0,0,0
2014-07-15,21150,0,0,0,0
