date,close,open,high,low,vol
2000-04-24,10000,9750,10300,9600,261880
2000-04-25,9800,9900,10000,9650,63690
2000-04-26,9300,9800,10000,9210,63790
2000-04-27,9060,9060,9350,9060,48880
2000-04-28,9380,9100,9400,9050,77170
2000-05-02,9310,9350,9470,9150,60240
2000-05-03,9500,9300,9900,9170,127410
2000-05-04,9420,9650,9650,9400,55150
2000-05-08,9300,9480,9600,9300,58780
2000-05-09,9970,9760,10650,9510,328710
2000-05-10,9640,9810,9980,9520,71310
2000-05-12,9350,9350,9600,9330,62330
2000-05-15,9130,9120,9400,9060,56470
2000-05-16,9100,9130,9290,9010,45050
2000-05-17,7740,9100,9230,7740,155330
2000-05-18,7450,7740,7950,7190,113490
2000-05-19,7500,7450,8100,7310,90810
2000-05-22,7020,7500,7500,6900,47400
2000-05-23,6850,7000,7150,6700,78870
2000-05-24,6970,6850,7200,6610,71190
2000-05-25,7520,7280,7800,7060,122630
2000-05-26,6870,7320,7400,6870,73650
2000-05-29,7000,6870,7490,6600,94820
2000-05-30,7300,7240,7470,7080,86810
2000-05-31,8000,7450,8000,7370,195690
2000-06-01,7750,7950,8050,7620,65200
2000-06-02,7840,7900,8210,7820,92100
2000-06-05,8700,8300,8800,8100,136740
2000-06-07,8680,8950,8990,8540,136990
2000-06-08,8210,8930,8930,8210,83160
2000-06-09,8550,8160,8700,8000,55860
2000-06-12,8680,8600,8750,8450,68140
2000-06-13,8650,8150,8900,8150,79190
2000-06-14,9200,8900,9850,8630,305420
2000-06-15,8600,9200,9200,8600,111980
2000-06-16,8800,8600,8880,8500,83740
2000-06-19,9250,8600,9550,8600,129710
2000-06-20,9900,9300,10100,9300,207080
2000-06-21,9900,9800,9960,9510,89310
2000-06-22,9920,10100,10800,9820,114720
2000-06-23,10100,9800,10300,9610,80060
2000-06-26,9920,10000,10400,9920,53000
2000-06-27,10200,9900,10200,9900,47510
2000-06-28,9900,10200,10200,9620,26230
2000-06-29,9700,9900,10100,9630,58250
2000-06-30,9800,9500,10000,9500,20450
2000-07-03,10100,9850,10600,9600,100580
2000-07-04,10000,10200,10200,9830,43860
2000-07-05,9990,10200,10200,9760,43570
2000-07-06,9780,9700,9960,9700,25520
2000-07-07,10900,9990,11000,9900,197770
2000-07-10,11700,11450,12000,10750,182880
2000-07-11,11500,11900,12300,11350,147800
2000-07-12,11500,11550,11950,11500,60630
2000-07-13,11750,11500,11850,11100,99260
2000-07-14,11000,11750,12200,11000,74520
2000-07-18,10800,11000,11450,10350,41010
2000-07-19,10500,10800,11000,10100,38460
2000-07-20,10600,10150,10700,10150,30910
2000-07-21,11500,10800,11950,10600,106550
2000-07-24,11100,12000,12000,11100,94760
2000-07-25,11450,11300,11450,10900,54150
2000-07-26,11200,11450,11700,11050,23440
2000-07-27,11700,11450,11800,11000,48090
2000-07-28,11900,11700,12150,11450,100580
2000-07-31,12350,11800,12450,11500,130180
2000-08-01,12500,12350,13400,11900,205750
2000-08-02,12650,12500,12800,12400,52030
2000-08-03,12800,12550,12800,12400,54480
2000-08-04,12950,12600,13200,12600,87970
2000-08-07,13050,12900,13300,12750,62000
2000-08-08,12350,13150,13200,12000,57420
2000-08-09,12600,12400,12900,12400,76860
2000-08-10,12700,12800,13800,12300,160710
2000-08-11,10950,12350,12400,10800,204760
2000-08-14,11350,11500,11700,10600,185190
2000-08-16,10800,10950,11500,10800,69950
2000-08-17,10300,10450,10800,10150,92980
2000-08-18,10650,10400,10750,10200,139680
2000-08-21,10300,10650,10650,10300,64990
2000-08-22,9950,10300,10450,9750,115690
2000-08-23,10600,10100,11000,9970,313360
2000-08-24,9990,10550,10600,9850,130800
2000-08-25,9610,9690,10000,9450,113170
2000-08-28,9030,9500,9590,8800,220650
2000-08-29,9030,9030,9100,8750,109240
2000-08-30,9030,9000,9090,8850,132470
2000-08-31,8750,9030,9030,8650,70420
2000-09-01,8700,8750,8920,8630,61320
2000-09-04,9120,8700,9300,8460,196640
2000-09-05,8740,9120,9250,8700,104860
2000-09-06,8730,8980,8990,8700,67610
2000-09-07,8340,8650,8700,8330,68320
2000-09-08,8150,8410,8500,8150,96560
2000-09-14,7900,8050,8100,7730,34120
2000-09-15,7810,7800,8100,7800,38930
2000-09-18,6970,7500,7700,6640,68990
2000-09-19,7110,6900,7600,6730,97420
2000-09-20,7600,7300,7720,7150,104620
2000-09-21,7400,7650,7750,7300,88320
2000-09-22,6800,7210,7400,6570,112300
2000-09-25,7060,6800,7200,6800,59180
2000-09-26,7100,7100,7170,6900,76230
2000-09-27,7320,7200,7480,7120,93160
2000-09-28,7360,7500,7530,7260,59710
2000-09-29,7320,7360,7470,7210,52950
2000-10-02,7180,7290,7290,7000,49780
2000-10-04,7180,6850,7280,6850,78700
2000-10-05,7400,7280,7470,7120,91570
2000-10-06,7370,7530,7530,7250,36180
2000-10-09,7160,7390,7390,7130,63150
2000-10-10,7100,7100,7180,6950,49970
2000-10-11,8160,7090,8160,7010,920520
2000-10-12,8390,8200,9000,8020,734590
2000-10-13,7700,8200,8240,7190,248270
2000-10-16,7900,8000,8210,7830,261090
2000-10-17,7290,7600,8190,7290,199250
2000-10-18,6900,7050,7280,6610,164140
2000-10-19,6740,6650,7080,6650,134340
2000-10-20,6850,6850,7000,6810,113980
2000-10-23,6690,6950,6950,6620,98350
2000-10-24,6780,6700,6880,6550,132340
2000-10-25,6720,6870,6870,6660,76850
2000-10-26,6900,6700,7250,6670,141470
2000-10-27,7300,6990,7750,6980,243420
2000-10-30,7300,0,0,0,0
2000-10-31,7300,0,0,0,0
2000-11-01,7300,0,0,0,0
2000-11-02,7300,0,0,0,0
2000-11-03,7300,0,0,0,0
2000-11-06,7300,0,0,0,0
2000-11-07,7300,0,0,0,0
2000-11-08,7300,0,0,0,0
2000-11-09,7300,0,0,0,0
2000-11-10,7300,0,0,0,0
2000-11-13,7300,0,0,0,0
2000-11-14,6900,6000,6900,6000,16720
2000-11-15,7930,7930,7930,7930,6640
2000-11-16,8510,9110,9110,8220,424430
2000-11-17,7840,8150,8320,7760,122510
2000-11-20,7360,7950,8000,7360,95860
2000-11-21,7000,7150,7370,6690,89770
2000-11-22,7100,6670,7650,6670,105570
2000-11-23,6820,7100,7480,6810,59250
2000-11-24,6800,6600,7000,6600,38380
2000-11-27,7100,6810,7300,6810,64710
2000-11-28,6950,6830,7100,6830,36520
2000-11-29,6620,6860,6900,6610,25730
2000-11-30,6520,6660,6900,6300,59630
2000-12-01,6800,5810,6850,5810,49030
2000-12-04,6900,6850,7180,6700,32510
2000-12-05,6950,6700,6950,6700,14430
2000-12-06,6860,7000,7050,6700,24840
2000-12-07,6510,6750,6850,6510,16060
2000-12-08,6440,6520,6700,6350,26510
2000-12-11,6350,6520,6700,6300,31600
2000-12-12,6350,6490,6520,6330,25110
2000-12-13,6430,6350,6890,6340,51550
2000-12-14,6550,6430,6550,6390,30620
2000-12-15,6380,6540,6540,6380,17910
2000-12-18,6370,6480,6490,6350,17910
2000-12-19,6350,6500,6500,6350,26440
2000-12-20,6100,6350,6400,6070,27160
2000-12-21,5700,5830,5990,5640,18740
2000-12-22,5670,5710,5880,5670,110250
2000-12-26,5900,5700,5900,5660,22200
2001-01-02,5620,5150,5790,5150,25650
2001-01-03,5450,5620,5660,5310,27120
2001-01-04,5700,5650,5840,5560,48410
2001-01-05,5700,5700,5770,5540,48090
2001-01-08,5950,5640,6150,5630,55160
2001-01-09,6130,6000,6250,5940,95870
2001-01-10,5630,6140,6200,5630,115830
2001-01-11,5700,5700,5790,5570,29520
2001-01-12,5820,5850,5930,5700,65270
2001-01-15,5850,5820,6000,5720,70010
2001-01-16,6300,6000,6370,5900,148470
2001-01-17,6200,6300,6400,5980,58050
2001-01-18,6080,6100,6200,6070,37370
2001-01-19,6180,6100,6180,6000,43160
2001-01-22,6240,6280,6320,6100,44460
2001-01-26,6050,6200,6300,6050,24850
2001-01-29,6100,6040,6160,6030,23020
2001-01-30,6180,6170,6290,6110,35150
2001-01-31,6130,6110,6290,5930,52740
2001-02-01,6250,6130,6340,6130,75560
2001-02-02,6250,6170,6490,6170,47820
2001-02-05,5960,6250,6250,5920,49420
2001-02-06,6000,6150,6200,5990,36020
2001-02-07,6300,5980,6800,5850,186690
2001-02-08,6110,6320,6400,6010,91220
2001-02-09,6110,6200,6240,6100,55790
2001-02-12,6130,6120,6240,6100,52550
2001-02-13,6300,6170,6470,6100,70520
2001-02-14,6330,6320,6450,6200,41980
2001-02-15,6350,6400,6550,6330,48770
2001-02-16,6670,6430,6890,6310,119740
2001-02-19,7670,6950,7670,6760,276420
2001-02-20,7470,7850,7890,7310,191380
2001-02-21,7500,7450,8180,7300,167150
2001-02-22,7000,7410,7440,6830,64750
2001-02-23,6920,7490,7490,6900,88060
2001-02-26,7090,6950,7200,6830,97610
2001-02-27,7130,7050,7390,7030,144930
2001-02-28,7400,7100,7400,7010,85550
2001-03-02,7000,7390,7700,6950,119780
2001-03-05,6540,6820,6850,6400,59000
2001-03-06,6530,6600,6700,6420,44380
2001-03-07,6540,6600,6600,6410,33120
2001-03-08,6700,6550,6770,6550,35760
2001-03-09,6650,6650,6850,6510,23400
2001-03-12,6450,6500,6660,6450,25390
2001-03-13,6200,6400,6400,6060,45550
2001-03-14,6500,6300,6500,6260,19050
2001-03-15,6600,6400,7200,6300,138310
2001-03-16,6800,6680,6900,6630,52440
2001-03-19,6700,6800,6820,6650,34140
2001-03-20,7300,6620,7700,6620,307970
2001-03-21,8390,7250,8390,6940,440770
2001-03-22,9640,9640,9640,9200,127830
2001-03-23,9520,10500,10850,9050,1673410
2001-03-26,9180,9810,10050,8700,513030
2001-03-27,9300,9310,9950,9200,417090
2001-03-28,9000,9300,9450,8530,215750
2001-03-29,8500,8900,9120,8500,142900
2001-03-30,8580,8800,8840,7920,217110
2001-04-02,9800,8750,9840,8700,517510
2001-04-03,8720,9300,9500,8560,292710
2001-04-04,8150,8430,8600,8050,143890
2001-04-06,8480,8250,8480,8170,140030
2001-04-09,8300,8480,8750,8240,98410
2001-04-10,8230,8300,9100,7860,502530
