date,close,open,high,low,vol
2000-04-24,5390,58500,59000,53100,32509
2000-04-25,5390,53700,55000,50200,23413
2000-04-26,6030,57500,60300,56000,125884
2000-04-27,6030,0,0,0,0
2000-04-28,6030,0,0,0,0
2000-05-02,5700,5360,6280,5360,1148671
2000-05-03,5710,5980,5990,5520,427566
2000-05-04,5870,5960,6160,5620,856493
2000-05-08,6570,5970,6570,5970,940562
2000-05-09,7000,6990,7350,6580,1820664
2000-05-10,6700,6890,7100,6600,835979
2000-05-12,6410,6990,6990,6400,788033
2000-05-15,7170,7000,7170,6510,2038544
2000-05-16,6500,7400,7570,6460,1458768
2000-05-17,6300,6900,6980,6200,1155196
2000-05-18,5550,5900,5900,5550,411962
2000-05-19,5010,4950,5240,4890,774655
2000-05-22,4410,4460,4900,4410,372892
2000-05-23,3890,3960,4100,3890,697700
2000-05-24,3430,3570,3650,3430,422656
2000-05-25,3840,3800,3840,3650,293396
2000-05-26,3570,3790,4030,3400,818288
2000-05-29,3400,3300,3620,3150,461597
2000-05-30,3800,3600,3800,3530,530244
2000-05-31,4250,4150,4250,4140,334150
2000-06-01,4230,4300,4690,4000,726186
2000-06-02,4550,4720,4730,4280,920154
2000-06-05,4900,4690,4960,4600,674398
2000-06-07,5100,4950,5280,4650,995410
2000-06-08,4780,4910,5300,4680,895487
2000-06-09,4400,4510,4700,4220,324161
2000-06-12,4560,4450,4600,4220,399404
2000-06-13,4570,4660,4990,4420,511472
2000-06-14,4800,4620,4840,4480,314030
2000-06-15,4230,4600,4740,4230,189652
2000-06-16,4200,3920,4470,3750,316742
2000-06-19,4020,3960,4240,3960,228980
2000-06-20,4090,4190,4280,4020,223579
2000-06-21,4150,4200,4290,4080,366992
2000-06-22,4140,4170,4280,4070,249473
2000-06-23,4030,4140,4200,3930,259668
2000-06-26,4060,4030,4130,3940,274611
2000-06-27,4020,4150,4150,3990,339643
2000-06-28,3960,4020,4060,3930,280761
2000-06-29,4100,3970,4430,3970,1020745
2000-06-30,3950,4050,4050,3930,237323
2000-07-03,3920,3950,3980,3850,261404
2000-07-04,3790,3940,3970,3790,261622
2000-07-05,3500,3710,3750,3340,268246
2000-07-06,3360,3400,3460,3220,210577
2000-07-07,3480,3310,3700,3310,269349
2000-07-10,3470,3410,3580,3410,229051
2000-07-11,3250,3410,3470,3150,246718
2000-07-12,3280,3030,3350,3030,194449
2000-07-13,3250,3300,3350,3200,137045
2000-07-14,3160,3350,3350,3080,151206
2000-07-18,3060,3200,3200,3010,164303
2000-07-19,2760,2990,2990,2700,178170
2000-07-20,2660,2510,2800,2510,291528
2000-07-21,2670,2600,2770,2540,263583
2000-07-24,2360,2570,2640,2350,200265
2000-07-25,2210,2100,2320,2100,211848
2000-07-26,2400,2260,2450,2180,208313
2000-07-27,2390,2300,2490,2280,155017
2000-07-28,2350,2300,2670,2290,466585
2000-07-31,2400,2400,2420,2220,178067
2000-08-01,2680,2480,2680,2410,789019
2000-08-02,2750,2700,2890,2550,664201
2000-08-03,2990,2850,3080,2750,691835
2000-08-04,2830,3030,3120,2750,481862
2000-08-07,3020,2800,3100,2800,491313
2000-08-08,3190,3030,3290,3000,561388
2000-08-09,3460,3230,3500,3120,713006
2000-08-10,3580,3400,3600,3360,534547
2000-08-11,3420,3410,3650,3410,259397
2000-08-14,3520,3470,3590,3420,315046
2000-08-16,3900,3600,3900,3570,516759
2000-08-17,3440,3910,4020,3440,455824
2000-08-18,3180,3150,3640,3100,833633
2000-08-21,3310,3200,3390,3150,483729
2000-08-22,3200,3150,3330,3100,420226
2000-08-23,3170,3200,3270,3010,259116
2000-08-24,3040,3200,3230,2920,322989
2000-08-25,2860,2930,3060,2700,352024
2000-08-28,3200,2900,3200,2900,357750
2000-08-29,3300,3350,3390,3200,460562
2000-08-30,3180,3210,3400,3160,340349
2000-08-31,2840,3020,3050,2800,715370
2000-09-01,2840,2900,2940,2750,320655
2000-09-04,2730,2830,2830,2610,238148
2000-09-05,2670,2600,2750,2600,198502
2000-09-06,2630,2630,2740,2570,229167
2000-09-07,2480,2630,2670,2430,146041
2000-09-08,2520,2490,2550,2380,156361
2000-09-14,2520,2390,2520,2270,116114
2000-09-15,2400,2420,2580,2350,164480
2000-09-18,2120,2210,2230,2120,178924
2000-09-19,1900,1870,2120,1870,240989
2000-09-20,2020,2100,2100,1930,257257
2000-09-21,1830,2010,2010,1810,170338
2000-09-22,1630,1780,1780,1620,261490
2000-09-25,1650,1610,1720,1560,168807
2000-09-26,1690,1600,1730,1600,187699
2000-09-27,1890,1700,1890,1690,328665
2000-09-28,1980,1930,2040,1820,256862
2000-09-29,2150,2040,2190,1960,244799
2000-10-02,2020,2100,2100,1960,320786
2000-10-04,2050,1910,2150,1860,423864
2000-10-05,2200,2210,2290,2150,500026
2000-10-06,2230,2180,2300,2110,332259
2000-10-09,2280,2300,2470,2200,454985
2000-10-10,2370,2300,2550,2300,1076971
2000-10-11,2090,2300,2340,2090,443915
2000-10-12,1940,2000,2040,1860,401610
2000-10-13,1820,1850,1850,1720,191719
2000-10-16,2030,2020,2030,1950,256766
2000-10-17,1880,1950,2000,1830,220960
2000-10-18,1870,1800,1960,1680,144772
2000-10-19,1880,1900,1990,1830,145596
2000-10-20,1930,2040,2090,1920,242714
2000-10-23,1880,1950,1950,1810,153710
2000-10-24,1880,1880,1920,1800,149447
2000-10-25,1830,1880,1900,1810,103532
2000-10-26,1780,1800,1850,1710,155414
2000-10-27,1780,1850,1880,1750,113603
2000-10-30,1600,1710,1780,1580,117507
2000-10-31,1630,1510,1670,1450,154471
2000-11-01,1710,1650,1750,1650,204535
2000-11-02,1740,1750,1780,1650,120445
2000-11-03,1780,1790,1840,1730,177388
2000-11-06,1780,1780,1830,1710,135794
2000-11-07,1810,1760,1900,1740,222765
2000-11-08,1750,1800,1800,1720,69687
2000-11-09,1740,1710,1750,1650,87850
2000-11-10,1860,1720,1880,1700,170768
2000-11-13,1830,1870,1900,1790,179554
2000-11-14,1850,1830,1900,1820,143221
2000-11-15,1890,1900,1970,1850,261901
2000-11-16,1850,1850,1890,1780,179578
2000-11-17,1870,1810,1930,1760,375931
2000-11-20,1880,1830,1920,1830,147314
2000-11-21,1990,1850,2040,1710,484032
2000-11-22,2040,2100,2220,2000,1480439
2000-11-23,1800,1950,1980,1800,506634
2000-11-24,1910,1780,2010,1770,1886009
2000-11-27,2070,1950,2090,1940,657155
2000-11-28,1830,2050,2050,1830,476542
2000-11-29,1720,1780,1780,1660,282265
