date,close,open,high,low,vol
2000-04-17,3950,4010,4400,3910,90950
2000-04-18,4060,4210,4280,4030,47040
2000-04-19,4160,4010,4240,4010,47340
2000-04-20,4280,4010,4470,4010,98360
2000-04-21,4290,4350,4400,4170,47180
2000-04-24,4350,4370,4370,4190,41970
2000-04-25,4390,4140,4390,4140,38910
2000-04-26,4300,4490,4490,4200,30760
2000-04-27,4300,4160,4380,4160,24230
2000-04-28,4255,4300,4400,4160,23630
2000-05-02,4140,4250,4300,4070,27020
2000-05-03,4100,4100,4250,4085,29460
2000-05-04,4030,4100,4150,4010,29710
2000-05-08,4040,3970,4090,3970,40910
2000-05-09,3990,4000,4010,3910,14370
2000-05-10,3910,3870,4000,3870,16400
2000-05-12,3800,3830,4050,3720,36860
2000-05-15,3640,3800,3800,3640,12550
2000-05-16,3590,3660,3690,3500,26790
2000-05-17,3345,3590,3600,3330,21430
2000-05-18,3100,3000,3200,3000,18100
2000-05-19,3110,3100,3150,3000,23560
2000-05-22,3050,3100,3200,3050,18150
2000-05-23,3050,3000,3150,2900,14400
2000-05-24,3430,2960,3495,2900,64990
2000-05-25,3630,3590,3780,3350,62320
2000-05-26,3200,3650,3650,3150,26600
2000-05-29,3300,3050,3400,2910,32740
2000-05-30,3530,3400,3680,3320,70060
2000-05-31,3560,3650,3660,3350,108590
2000-06-01,3400,3700,3700,3360,28050
2000-06-02,3470,3590,3690,3400,51260
2000-06-05,3990,3770,3990,3770,115810
2000-06-07,4585,4585,4585,4585,25340
2000-06-08,5250,5270,5270,4560,387720
2000-06-09,4780,4500,5200,4470,190080
2000-06-12,4600,4730,4730,4400,167510
2000-06-13,4010,4410,4540,3950,69700
2000-06-14,4500,4000,4600,3835,159480
2000-06-15,3900,4600,4600,3900,44620
2000-06-16,3550,3515,3900,3500,60180
2000-06-19,3455,3450,3700,3450,33780
2000-06-20,3550,3500,3550,3400,43480
2000-06-21,3570,3570,3730,3460,59530
2000-06-22,3500,3730,3730,3500,21240
2000-06-23,3630,3420,3680,3410,35930
2000-06-26,3585,3690,3690,3520,14320
2000-06-27,3650,3650,3780,3590,30040
2000-06-28,3700,3750,4100,3695,69100
2000-06-29,3580,3650,3750,3565,27790
2000-06-30,3600,3560,3690,3510,17080
2000-07-03,3650,3620,3665,3510,23010
2000-07-04,3660,3700,3780,3610,34500
2000-07-05,3660,3570,3730,3550,24010
2000-07-06,3750,3660,3850,3640,81920
2000-07-07,4070,3880,4250,3850,165810
2000-07-10,4200,4300,4300,4000,104530
2000-07-11,4750,4180,4830,4180,245320
2000-07-12,4800,4740,5300,4500,265080
2000-07-13,4600,4800,4900,4530,75930
2000-07-14,4550,4600,4810,4440,55370
2000-07-18,4250,4380,4400,4110,26990
2000-07-19,4150,4060,4285,4010,19450
2000-07-20,4030,4030,4200,3960,10590
2000-07-21,4100,4050,4200,3900,20890
2000-07-24,3820,4160,4160,3800,17380
2000-07-25,3890,3800,4050,3630,20420
2000-07-26,3850,4040,4100,3800,18390
2000-07-27,3710,3950,4000,3670,20190
2000-07-28,3600,3740,3760,3600,13010
2000-07-31,3605,3510,3605,3300,29210
2000-08-01,3650,3600,3810,3600,30430
2000-08-02,3700,3600,3770,3600,12950
2000-08-03,3570,3650,3730,3570,38570
2000-08-04,3580,3680,3680,3560,25120
2000-08-07,3485,3605,3610,3470,25780
2000-08-08,3490,3420,3700,3420,23450
2000-08-09,3550,3565,3575,3480,19650
2000-08-10,3570,3550,3600,3450,49490
2000-08-11,3550,3580,3595,3500,77410
2000-08-14,3820,3880,3880,3600,49650
2000-08-16,3850,3820,3870,3700,69220
2000-08-17,3800,3810,3835,3750,23650
2000-08-18,3920,3800,3950,3800,21320
2000-08-21,3900,3920,3920,3800,16570
2000-08-22,3950,3815,4030,3815,40520
2000-08-23,3980,3960,4100,3900,29500
