date,close,open,high,low,vol
2000-04-17,1680,1660,1800,1640,562900
2000-04-18,1740,1790,1850,1710,426850
2000-04-19,1850,1750,1950,1750,602770
2000-04-20,1870,1810,1930,1810,387340
2000-04-21,1930,1895,1935,1850,388610
2000-04-24,2215,2215,2215,2170,1108530
2000-04-25,2100,2245,2360,2025,3154170
2000-04-26,1930,2150,2195,1910,959390
2000-04-27,1900,1950,2040,1825,757390
2000-04-28,1910,1830,2020,1830,400260
2000-05-02,1900,1900,1930,1865,449870
2000-05-03,1900,1900,1990,1900,371400
2000-05-04,1890,1890,1940,1870,267800
2000-05-08,1950,1910,1985,1910,368250
2000-05-09,1930,1910,1980,1910,329880
2000-05-10,1890,1970,1970,1890,293060
2000-05-12,1810,1850,1900,1800,500480
2000-05-15,1740,1780,1780,1710,353230
2000-05-16,1850,1750,1850,1730,405360
2000-05-17,1680,1790,1835,1660,330540
2000-05-18,1555,1605,1635,1520,329480
2000-05-19,1560,1555,1575,1480,211890
2000-05-22,1400,1530,1560,1400,322590
2000-05-23,1380,1400,1460,1190,802640
2000-05-24,1510,1400,1540,1320,927480
2000-05-25,1730,1600,1735,1565,798320
2000-05-26,1660,1600,1870,1550,1125010
2000-05-29,1650,1510,1740,1510,483070
2000-05-30,1710,1690,1780,1670,516280
2000-05-31,1745,1780,1800,1720,809980
2000-06-01,1685,1705,1710,1650,344570
2000-06-02,1700,1740,1770,1650,662750
2000-06-05,1780,1710,1840,1710,1100370
2000-06-07,1780,1780,1800,1740,1276080
2000-06-08,1680,1830,1850,1635,838030
2000-06-09,1665,1650,1680,1620,387230
2000-06-12,1680,1675,1745,1620,548380
2000-06-13,1610,1680,1690,1600,320260
2000-06-14,1580,1630,1670,1550,449140
2000-06-15,1480,1510,1575,1460,400000
2000-06-16,1515,1435,1620,1435,760320
2000-06-19,1470,1520,1535,1460,285530
2000-06-20,1485,1515,1520,1465,735110
2000-06-21,1490,1480,1515,1465,455820
2000-06-22,1505,1510,1575,1490,391560
2000-06-23,1465,1525,1525,1460,342960
2000-06-26,1525,1465,1535,1465,548140
2000-06-27,1575,1560,1670,1550,787920
2000-06-28,1640,1585,1700,1550,918870
2000-06-29,1575,1680,1685,1560,380160
2000-06-30,1555,1570,1610,1545,416510
2000-07-03,1665,1560,1685,1560,649470
2000-07-04,1655,1670,1690,1610,408940
2000-07-05,1695,1700,1765,1650,1369970
2000-07-06,1785,1740,1930,1650,1528650
2000-07-07,1775,1830,1870,1755,864450
2000-07-10,1760,1790,1800,1720,672590
2000-07-11,1685,1770,1790,1670,846250
2000-07-12,1705,1685,1730,1685,395920
2000-07-13,1660,1680,1700,1660,196680
2000-07-14,1700,1650,1760,1650,549890
2000-07-18,1730,1710,1750,1670,388390
2000-07-19,1790,1730,1790,1650,497760
2000-07-20,1850,1790,1850,1725,592970
2000-07-21,1850,1900,1950,1850,1624150
2000-07-24,1660,1850,1850,1660,492400
2000-07-25,1615,1605,1650,1545,632870
2000-07-26,1550,1600,1620,1545,808090
2000-07-27,1555,1560,1580,1535,358400
2000-07-28,1525,1550,1575,1520,299760
2000-07-31,1580,1500,1580,1500,474230
2000-08-01,1670,1580,1670,1550,471520
2000-08-02,1745,1630,1745,1630,321850
2000-08-03,1720,1800,1820,1715,844810
2000-08-04,1650,1720,1720,1645,243360
2000-08-07,1610,1600,1645,1600,218290
2000-08-08,1585,1600,1640,1580,227980
2000-08-09,1650,1580,1665,1580,303690
2000-08-10,1640,1610,1670,1605,437780
2000-08-11,1640,1600,1660,1600,277270
2000-08-14,1720,1660,1750,1640,1182380
2000-08-16,1670,1730,1760,1660,741330
2000-08-17,1640,1670,1680,1620,375420
2000-08-18,1650,1620,1670,1610,335540
2000-08-21,1750,1650,1750,1620,400970
2000-08-22,1730,1715,1830,1680,1073420
2000-08-23,1650,1750,1775,1650,453130
2000-08-24,1650,1675,1685,1600,427800
2000-08-25,1645,1610,1660,1610,173040
2000-08-28,1670,1645,1790,1630,1058440
2000-08-29,1655,1660,1670,1645,158110
2000-08-30,1640,1630,1675,1630,131000
2000-08-31,1600,1620,1645,1590,301110
2000-09-01,1605,1610,1630,1590,150490
2000-09-04,1605,1610,1630,1595,142180
2000-09-05,1615,1635,1635,1590,108310
2000-09-06,1590,1600,1635,1590,243050
2000-09-07,1565,1590,1590,1560,178330
2000-09-08,1555,1545,1610,1540,194880
2000-09-14,1505,1520,1550,1480,208530
2000-09-15,1510,1505,1550,1505,172720
2000-09-18,1380,1470,1490,1300,202170
2000-09-19,1390,1380,1415,1330,164010
2000-09-20,1450,1440,1530,1420,450620
2000-09-21,1385,1480,1480,1355,215070
2000-09-22,1330,1390,1420,1320,226600
2000-09-25,1370,1330,1375,1330,143360
2000-09-26,1360,1370,1390,1345,120750
2000-09-27,1455,1350,1530,1350,516380
2000-09-28,1440,1470,1520,1425,151490
2000-09-29,1435,1450,1480,1425,279220
2000-10-02,1430,1420,1450,1400,328540
2000-10-04,1430,1420,1435,1400,172560
2000-10-05,1480,1415,1640,1415,2584650
2000-10-06,1500,1480,1530,1460,499370
2000-10-09,1540,1550,1620,1530,868140
2000-10-10,1520,1540,1570,1505,311370
2000-10-11,1440,1500,1520,1435,354720
2000-10-12,1435,1410,1490,1410,272560
2000-10-13,1400,1395,1490,1340,346690
2000-10-16,1510,1445,1550,1440,432630
2000-10-17,1425,1510,1560,1425,459620
2000-10-18,1410,1400,1440,1365,227150
2000-10-19,1380,1370,1430,1370,200430
2000-10-20,1410,1400,1440,1400,270500
2000-10-23,1385,1410,1430,1380,213810
2000-10-24,1385,1360,1410,1360,198320
2000-10-25,1375,1385,1400,1370,139610
2000-10-26,1350,1370,1380,1330,208200
2000-10-27,1340,1350,1375,1340,137250
2000-10-30,1290,1325,1345,1275,173860
2000-10-31,1270,1300,1310,1200,179730
2000-11-01,1290,1290,1340,1290,250130
2000-11-02,1370,1310,1370,1305,362090
2000-11-03,1345,1370,1460,1320,1497710
2000-11-06,1335,1355,1380,1330,520170
2000-11-07,1325,1330,1355,1310,227530
2000-11-08,1290,1305,1320,1290,238120
2000-11-09,1325,1270,1350,1270,202800
2000-11-10,1325,1310,1330,1295,133620
2000-11-13,1325,1325,1375,1295,495400
