date,close,open,high,low,vol
2000-04-24,4460,4600,4600,4420,189390
2000-04-25,4330,4480,4480,4310,99550
2000-04-26,4330,4400,4650,4100,451680
2000-04-27,4075,4160,4290,4050,162820
2000-04-28,4250,4155,4350,4080,428060
2000-05-02,4220,4350,4495,4220,290150
2000-05-03,4165,4150,4350,4035,582570
2000-05-04,4100,4190,4200,4050,331940
2000-05-08,4140,4115,4295,4080,548620
2000-05-09,4075,4160,4200,4050,228300
2000-05-10,4100,4100,4120,4025,197360
2000-05-12,3995,4025,4050,3870,275210
2000-05-15,4180,4250,4350,4100,785000
2000-05-16,4010,4180,4300,4000,225220
2000-05-17,3970,4300,4350,3910,615250
2000-05-18,3500,3750,3960,3405,297260
2000-05-19,3520,3310,3520,3200,252560
2000-05-22,3180,3540,3750,3100,570270
2000-05-23,3100,2980,3300,2980,459690
2000-05-24,3110,3000,3250,2710,528220
2000-05-25,3530,3160,3575,3160,610630
2000-05-26,3140,3500,3500,3100,468990
2000-05-29,3140,3140,3320,2940,429490
2000-05-30,3310,3200,3385,3200,412630
2000-05-31,3720,3680,3785,3515,722590
2000-06-01,3780,3720,3950,3650,579460
2000-06-02,3800,4000,4250,3800,1005880
2000-06-05,4070,4000,4195,3950,655210
2000-06-07,4100,4070,4120,3900,671920
2000-06-08,3970,4100,4340,3930,835990
2000-06-09,3950,4050,4210,3900,621050
2000-06-12,3880,4080,4080,3830,394140
2000-06-13,3680,3890,3970,3630,404080
2000-06-14,3820,3700,3850,3610,655010
2000-06-15,3350,3720,3740,3350,397780
2000-06-16,3350,3370,3490,3220,221910
2000-06-19,3360,3200,3850,3200,944170
2000-06-20,3470,3530,3540,3405,290670
2000-06-21,3570,3510,3770,3485,644080
2000-06-22,3540,3520,3780,3510,438910
2000-06-23,3460,3490,3600,3430,195380
2000-06-26,3615,3500,3750,3500,350800
2000-06-27,3840,3730,3890,3730,607400
2000-06-28,4010,3910,4100,3840,521550
2000-06-29,4170,4210,4440,4110,871270
2000-06-30,4060,4120,4140,3920,417650
2000-07-03,4350,4150,4350,4150,529590
2000-07-04,4300,4500,4500,4160,388470
2000-07-05,4590,4300,4740,4300,1462600
2000-07-06,4620,4650,5040,4480,1242250
2000-07-07,4500,4680,4850,4400,584340
2000-07-10,4535,4500,4730,4500,457940
2000-07-11,4290,4500,4520,4260,532470
2000-07-12,4350,4290,4590,4250,651510
2000-07-13,4375,4280,4530,4200,699130
2000-07-14,4280,4380,4470,4280,360550
2000-07-18,4250,4020,4350,4020,231340
2000-07-19,4030,4250,4320,3970,267780
2000-07-20,3845,4000,4005,3800,181780
2000-07-21,3770,3845,3960,3740,256740
2000-07-24,3380,3650,3700,3350,224260
2000-07-25,3400,3220,3450,3140,258770
2000-07-26,3660,3400,3800,3360,420570
2000-07-27,3400,3560,3560,3390,313120
2000-07-28,3220,3270,3330,3185,205720
2000-07-31,3330,3300,3350,3210,187190
2000-08-01,3465,3310,3600,3290,347270
2000-08-02,3390,3400,3435,3330,209530
2000-08-03,3390,3410,3450,3350,198540
2000-08-04,3300,3400,3400,3260,190980
2000-08-07,3100,3250,3250,3100,199060
2000-08-08,3130,3150,3235,3110,235740
2000-08-09,3240,3170,3240,3170,171770
2000-08-10,3600,3340,3660,3200,528700
2000-08-11,3445,3600,3800,3400,448860
2000-08-14,3560,3730,3750,3510,375080
2000-08-16,3890,3950,4000,3800,755550
2000-08-17,3690,3850,3850,3680,294690
2000-08-18,3750,3800,3890,3700,289690
2000-08-21,3620,3630,3800,3620,115550
2000-08-22,3595,3550,3670,3550,109780
2000-08-23,3460,3560,3660,3460,156410
2000-08-24,3505,3650,3650,3480,349640
2000-08-25,3430,3450,3505,3410,138180
2000-08-28,3490,3450,3620,3430,132490
2000-08-29,3500,3430,3570,3430,91730
2000-08-30,3500,3500,3570,3500,82740
2000-08-31,3330,3550,3550,3290,178960
2000-09-01,3330,3400,3420,3300,119370
2000-09-04,3255,3270,3370,3210,81240
2000-09-05,3400,3255,3400,3230,162860
2000-09-06,3360,3340,3460,3270,136870
2000-09-07,3180,3300,3300,3180,138480
2000-09-08,3160,3210,3250,3115,94330
2000-09-14,3150,3080,3270,3030,205720
2000-09-15,3070,3160,3200,3050,129830
2000-09-18,2610,2910,2950,2610,185320
2000-09-19,2520,2510,2650,2500,230740
2000-09-20,2640,2700,2730,2610,409890
2000-09-21,2500,2665,2665,2470,256650
2000-09-22,2180,2500,2500,2150,228110
2000-09-25,2235,2155,2285,2155,291940
2000-09-26,2330,2200,2400,2200,273730
2000-09-27,2470,2380,2540,2340,301770
2000-09-28,2430,2570,2580,2370,210610
2000-09-29,2460,2510,2540,2430,163650
