date,close,open,high,low,vol
2000-04-24,5940,6070,6100,5800,409179
2000-04-25,5870,5700,6000,5610,249685
2000-04-26,5800,6150,6260,5650,391259
2000-04-27,5600,5650,5900,5400,205318
2000-04-28,5660,5700,5730,5570,224748
2000-05-02,5950,5660,6000,5660,320955
2000-05-03,6020,5850,6370,5700,743882
2000-05-04,6120,6100,6250,5960,430641
2000-05-08,6210,6230,6620,6110,487048
2000-05-09,6130,6090,6180,5960,257391
2000-05-10,6380,5990,6500,5960,528211
2000-05-12,7000,6510,7100,6510,1125441
2000-05-15,7840,7750,7840,7010,1684409
2000-05-16,7100,7950,7950,7050,684627
2000-05-17,6790,7650,7950,6450,1177257
2000-05-18,5980,6500,6590,5980,573810
2000-05-19,6080,5900,6400,5280,1022692
2000-05-22,5550,5880,6180,5400,396398
2000-05-23,5280,5500,5600,5050,483585
2000-05-24,4950,4850,5150,4700,521243
2000-05-25,5540,5190,5540,5190,520527
2000-05-26,4930,5200,5550,4900,354214
2000-05-29,4850,4730,5030,4500,244734
2000-05-30,5300,5010,5300,5010,392100
2000-05-31,5930,5790,5930,5650,594069
2000-06-01,5890,5700,6300,5510,903067
2000-06-02,6040,6240,6400,5860,757678
2000-06-05,6200,6350,6390,6100,968437
2000-06-07,6150,6150,6370,5910,1065786
2000-06-08,5750,6200,6250,5640,692844
2000-06-09,5580,5750,5800,5510,307113
2000-06-12,5880,5680,5940,5620,461721
2000-06-13,5410,5800,5800,5310,334761
2000-06-14,5470,5500,5650,5320,181745
2000-06-15,5000,5500,5500,4900,197834
2000-06-16,5090,5000,5250,4910,190412
2000-06-19,5000,5080,5290,4950,322071
2000-06-20,5200,5150,5370,5120,336349
2000-06-21,5230,5400,5570,5200,394455
2000-06-22,5150,5330,5380,5070,203544
2000-06-23,5110,5000,5110,4960,146870
2000-06-26,5150,5050,5240,5050,193228
2000-06-27,5170,5260,5380,5160,277289
2000-06-28,5130,5170,5240,5100,228831
2000-06-29,5280,5210,5530,5110,539165
2000-06-30,5150,5200,5280,5100,173402
2000-07-03,5230,5160,5260,5160,236324
2000-07-04,5380,5230,5570,5180,504263
2000-07-05,5350,5350,5350,4980,315283
2000-07-06,5120,5200,5250,5020,186452
2000-07-07,5140,5190,5240,5020,141976
2000-07-10,5100,5050,5180,5030,152033
2000-07-11,5150,5100,5200,5030,354405
2000-07-12,5090,5120,5140,4970,209648
2000-07-13,4990,5000,5110,4950,148069
2000-07-14,5330,5020,5380,5020,766868
2000-07-18,5550,5330,5790,5200,1158577
2000-07-19,5280,5550,5550,5080,380472
2000-07-20,5480,5150,5490,5070,442463
2000-07-21,5190,5460,5550,5190,152102
2000-07-24,5150,5110,5300,5030,280832
2000-07-25,5080,5090,5150,4900,201777
2000-07-26,5340,5110,5340,5020,209458
2000-07-27,5190,5280,5280,5080,97995
2000-07-28,5000,5030,5130,4960,116114
2000-07-31,5040,4950,5170,4910,367021
2000-08-01,5220,5140,5280,5060,271513
2000-08-02,5140,5130,5250,5070,132530
2000-08-03,5330,5100,5440,5100,370311
2000-08-04,5500,5500,5750,5400,504487
2000-08-07,5400,5550,5740,5320,205163
2000-08-08,5250,5350,5600,5150,263131
2000-08-09,5390,5300,5470,5250,195103
2000-08-10,5730,5390,6000,5350,954535
2000-08-11,5530,5700,5720,5310,335199
2000-08-14,5370,5530,5700,5350,171858
2000-08-16,5750,5430,6000,5430,843924
2000-08-17,5520,5810,5850,5450,308765
2000-08-18,5480,5630,5700,5440,197510
2000-08-21,5420,5350,5590,5350,173459
2000-08-22,5470,5430,5600,5350,111682
2000-08-23,5230,5500,5500,5160,127929
2000-08-24,5140,5200,5400,5040,133740
2000-08-25,5160,5200,5250,5070,83483
2000-08-28,5300,5160,5350,5160,155087
2000-08-29,5190,5360,5390,5160,111865
2000-08-30,5310,5270,5370,5200,136704
2000-08-31,5150,5200,5230,5020,109463
2000-09-01,5160,5150,5190,5040,111833
