date,close,open,high,low,vol
2000-04-24,15400,155500,163000,150000,2655
2000-04-25,14000,141000,158000,136000,2356
2000-04-26,14100,132000,152000,132000,3930
2000-04-27,15000,140000,157500,140000,4829
2000-04-28,14100,155000,155000,135000,2265
2000-05-02,13550,133000,141000,132000,2386
2000-05-03,14200,136000,148000,136000,2872
2000-05-04,14500,142000,153000,140000,1794
2000-05-08,16200,147000,162000,146000,3947
2000-05-09,15200,162000,174500,150000,3444
2000-05-10,16300,151000,166500,145000,4690
2000-05-12,17500,173000,178000,164000,5790
2000-05-15,18800,170000,196000,170000,7300
2000-05-16,16750,190000,190000,165500,3355
2000-05-17,17800,166000,186000,160000,4106
2000-05-18,19000,170000,199000,170000,7395
2000-05-19,16750,189000,196000,167500,3624
2000-05-22,14750,147500,160000,147500,1485
2000-05-23,13000,130000,130000,130000,281
2000-05-24,11450,114500,114500,114500,124
2000-05-25,12200,101000,127500,101000,3829
2000-05-26,10750,132000,132000,107500,2008
2000-05-29,9600,105000,109000,95000,1976
2000-05-30,10650,90100,107500,90100,3711
2000-05-31,11900,106500,119000,106500,3226
2000-06-01,11500,130000,130000,107000,1655
2000-06-02,11550,120000,120000,111000,1454
2000-06-05,11900,117000,122500,117000,2160
2000-06-07,11950,121500,121500,115000,1826
2000-06-08,10900,120500,120500,105500,1800
2000-06-09,11500,121000,121000,101000,1558
2000-06-12,11700,110000,118000,108500,1044
2000-06-13,11000,110000,116000,106000,643
2000-06-14,11850,110000,118500,110000,1894
2000-06-15,12200,115500,132500,115500,5184
2000-06-16,12000,118000,131500,115000,2883
2000-06-19,11500,117000,122000,110500,1530
2000-06-20,11700,117000,120000,101500,1744
2000-06-21,11600,114000,118000,112000,745
2000-06-22,11500,118500,118500,113000,693
2000-06-23,11300,112500,117000,110000,901
2000-06-26,11100,108500,114500,108500,827
2000-06-27,11000,109000,113500,108500,725
2000-06-28,12300,111000,123000,111000,7326
2000-06-29,11600,122500,122500,109000,3506
2000-06-30,11250,111000,116000,109000,1629
2000-07-03,10800,106000,112000,106000,1708
2000-07-04,11100,114500,114500,108000,2018
2000-07-05,12400,109000,124000,108500,11295
2000-07-06,13850,125500,138500,118000,11902
2000-07-07,13500,155000,155000,122000,16491
2000-07-10,13400,147000,149500,131000,8692
2000-07-11,11900,138000,140000,118500,3459
2000-07-12,11200,105500,120000,105500,3664
2000-07-13,11300,113500,121000,111000,4075
2000-07-14,11300,113500,116000,110000,1891
2000-07-18,11900,113000,126000,111500,4438
2000-07-19,11500,116000,127000,110000,3854
2000-07-20,11100,115000,119500,107000,3646
2000-07-21,12400,111000,124000,111000,6331
2000-07-24,12500,127000,137500,124000,8798
2000-07-25,11500,126000,128000,110000,3216
2000-07-26,11650,118000,120000,115000,2293
2000-07-27,12000,111000,127000,111000,4920
2000-07-28,12000,124000,126500,118000,4711
2000-07-31,11900,124000,124000,115000,2183
2000-08-01,12250,123000,125500,119000,2644
2000-08-02,13100,121000,136000,119000,3734
2000-08-03,13100,131000,136500,130000,3219
2000-08-04,14650,134500,146500,129000,7787
2000-08-07,13950,146000,164000,130000,11877
2000-08-08,14000,142500,145000,132000,5641
2000-08-09,13000,137500,142000,125000,3131
2000-08-10,12800,130000,134000,126500,1538
2000-08-11,12750,125500,139000,124000,5224
2000-08-14,12300,126000,126500,121000,1507
2000-08-16,12150,123000,128000,118000,1803
2000-08-17,12600,122500,133000,121500,3987
2000-08-18,12150,126000,129000,120500,1749
2000-08-21,12400,122000,129000,121000,2688
2000-08-22,12150,120500,123000,117500,2021
2000-08-23,11950,119000,127000,119000,1950
2000-08-24,12100,117000,124000,115000,2171
2000-08-25,12600,122000,134000,118500,8302
2000-08-28,13100,123000,136500,122500,6134
2000-08-29,13000,135000,146500,129000,11279
2000-08-30,12300,134500,134500,120000,2557
2000-08-31,12100,121000,126500,115000,2277
2000-09-01,11900,116500,123000,116500,1711
