date,close,open,high,low,vol
2003-11-14,3400,3860,4000,3400,1304398
2003-11-17,2995,3250,3300,2995,548170
2003-11-18,2995,3190,3280,2915,429721
2003-11-19,3020,2955,3150,2910,253629
2003-11-20,2760,3010,3050,2760,202970
2003-11-21,2500,2730,2740,2450,206053
2003-11-24,2410,2320,2510,2300,174089
2003-11-25,2410,2410,2540,2410,180897
2003-11-26,2500,2450,2540,2445,121122
2003-11-27,2570,2515,2635,2500,92604
2003-11-28,2750,2585,2750,2585,83569
2003-12-01,2870,2840,2900,2710,29111
2003-12-02,2950,2895,2970,2820,77027
2003-12-03,2910,2825,3010,2825,62358
2003-12-04,3000,2990,3050,2910,53809
2003-12-05,3000,3100,3100,2650,29850
2003-12-08,2900,2950,3030,2850,50308
2003-12-09,2750,2855,3000,2750,30715
2003-12-10,2720,2615,2800,2570,69222
2003-12-11,2640,2670,2675,2570,42907
2003-12-12,2670,2700,2700,2610,17394
2003-12-15,2535,2635,2750,2470,385114
2003-12-16,2645,2550,2670,2540,116777
2003-12-17,2960,2700,2960,2690,1254980
2003-12-18,3000,3150,3190,2930,366178
2003-12-19,3120,2960,3220,2920,277405
2003-12-22,3120,3090,3145,3000,163791
2003-12-23,3220,3300,3440,3155,648498
2003-12-24,2960,3200,3200,2900,105073
2003-12-26,2735,2850,2930,2735,116659
2003-12-29,2740,2575,2770,2575,84500
2003-12-30,3000,2750,3000,2750,54373
2004-01-02,3050,2900,3050,2900,15639
2004-01-05,2850,2995,2995,2800,38614
2004-01-06,2840,2825,2940,2800,39161
2004-01-07,2845,2850,2950,2825,42097
2004-01-08,2840,2805,2905,2780,36785
2004-01-09,2955,2920,2955,2800,75081
2004-01-12,3000,2955,3050,2900,93682
2004-01-13,3010,3020,3060,2930,64004
2004-01-14,2890,2945,3005,2840,168902
2004-01-15,2830,2900,2950,2740,98966
2004-01-16,2845,2770,2870,2765,69808
2004-01-19,2790,2820,2870,2760,87555
2004-01-20,2790,2775,2810,2500,50786
2004-01-26,2775,2720,2795,2720,18210
2004-01-27,2630,2770,2770,2595,67139
2004-01-28,2600,2575,2710,2575,15085
2004-01-29,2600,2650,2650,2530,55876
2004-01-30,2640,2600,2695,2585,10243
2004-02-02,2565,2615,2685,2555,47043
2004-02-03,2520,2555,2595,2475,27804
2004-02-04,2455,2445,2565,2430,9358
2004-02-05,2530,2540,2550,2350,41584
2004-02-06,2595,2490,2615,2490,30805
2004-02-09,2590,2580,2610,2500,31796
2004-02-10,2600,2545,2830,2545,33686
2004-02-11,2705,2610,2715,2610,51809
2004-02-12,2650,2715,2775,2650,22040
2004-02-13,2675,2690,2700,2585,48703
2004-02-16,2720,2645,2720,2635,53023
2004-02-17,2690,2850,2850,2670,26932
2004-02-18,2670,2650,2750,2620,16292
2004-02-19,2670,2710,2750,2610,49184
2004-02-20,2730,2630,2730,2590,32864
2004-02-23,2700,2700,2775,2630,17729
2004-02-24,2680,2660,2720,2660,31806
2004-02-25,2780,2670,2830,2665,41495
2004-02-26,3025,2800,3110,2800,522818
2004-02-27,3300,3025,3370,2920,456166
2004-03-02,3300,3350,3350,3195,168144
2004-03-03,3200,3220,3295,3115,133543
2004-03-04,3210,3150,3220,3150,94083
2004-03-05,3390,3190,3450,3170,199931
2004-03-08,3250,3350,3490,3050,137351
2004-03-09,3130,3270,3270,3120,106500
2004-03-10,3120,3190,3230,3060,105279
2004-03-11,3455,3120,3455,3060,335024
2004-03-12,3690,3660,3865,3600,1491719
2004-03-15,3705,3730,3790,3680,285924
2004-03-16,3725,3705,3760,3655,205333
2004-03-17,3725,3710,3860,3680,422655
2004-03-18,3695,3705,3755,3685,194711
2004-03-19,3685,3695,3725,3610,181909
2004-03-22,3705,3580,3720,3580,167900
2004-03-23,3850,3705,3850,3700,190270
2004-03-24,3765,4000,4090,3765,146846
2004-03-25,3825,3765,3850,3720,122017
2004-03-26,3900,3950,3950,3800,150746
2004-03-29,3870,3800,3930,3800,84024
2004-03-30,3870,3860,3940,3820,52530
2004-03-31,3885,3810,3935,3810,32797
2004-04-01,3990,3940,3990,3850,85180
2004-04-02,4000,3990,4340,3900,167936
2004-04-06,4050,4200,4200,4000,91229
2004-04-07,4100,4100,4145,4020,37290
2004-04-08,4150,4100,4195,4100,32964
2004-04-09,4240,4150,4390,4105,97360
2004-04-12,4250,4240,4270,4180,39780
2004-04-13,4270,4250,4290,4230,22867
2004-04-14,4490,4280,4500,4280,43894
2004-04-16,4480,4580,4580,4350,32558
2004-04-19,4380,4380,4450,4380,40441
2004-04-20,4370,4300,4430,4300,95740
2004-04-21,4370,4370,4440,4370,21121
2004-04-22,4385,4370,4500,4325,34332
2004-04-23,4500,4385,4550,4385,35111
2004-04-26,4790,4520,4790,4520,69635
2004-04-27,4870,4970,5000,4690,35007
2004-04-28,4815,4920,4920,4290,36710
2004-04-29,4680,4720,4870,4680,12350
2004-04-30,4990,4510,5000,4510,121156
2004-05-03,5120,5500,5500,4880,24229
2004-05-04,5070,5200,5250,5050,31454
2004-05-06,4480,5180,5250,4470,168631
2004-05-07,4860,4460,5010,4460,224305
2004-05-10,5100,4900,5350,4900,172195
2004-05-11,5240,5150,5240,5050,76295
2004-05-12,4980,5240,5280,4980,29449
2004-05-13,4905,5000,5200,4900,55977
2004-05-14,4700,4905,5200,4700,57918
2004-05-17,5150,4700,5180,4700,266265
2004-05-18,5110,4910,5170,4910,97697
2004-05-19,5720,5150,5720,5150,427163
2004-05-20,6400,5860,6400,5860,150407
2004-05-21,6530,7160,7160,6430,562524
2004-05-24,6830,6710,6890,6500,122428
2004-05-25,6520,6930,6960,6400,105662
2004-05-27,6660,6420,7150,6420,321405
2004-05-28,6590,6550,6790,6500,57286
2004-05-31,6600,6590,6900,6560,49972
2004-06-01,6610,6600,6790,6600,30350
2004-06-02,6680,6610,6800,6580,66014
2004-06-03,6300,6710,6830,6300,176298
2004-06-04,6300,6180,7050,6180,154469
2004-06-07,6400,6410,6560,6390,25130
2004-06-08,6390,6550,6550,6380,42120
2004-06-09,6420,6410,6510,6400,25352
2004-06-10,7190,6410,7190,6410,163519
2004-06-11,7050,7200,7200,6900,13425
2004-06-14,6610,6870,7200,6610,15465
2004-06-15,6650,7200,7200,6640,18969
2004-06-16,6720,6710,6840,6700,6048
2004-06-17,6720,6650,6800,6650,9181
2004-06-18,6800,6730,6890,6730,6388
2004-06-21,6800,7000,7590,6700,34260
2004-06-22,6800,6980,6980,6780,15924
2004-06-23,6800,6980,7100,6700,28480
2004-06-24,7050,6800,7610,6780,128053
2004-06-25,7140,7100,7500,7030,13245
2004-06-28,7350,7190,7990,7190,83072
2004-06-29,8050,7600,8230,7600,71745
2004-06-30,8380,8290,8790,8150,50346
2004-07-01,9380,8470,9380,8420,151770
2004-07-02,10500,9760,10500,9760,66495
2004-07-05,11750,11750,11750,11100,14499
2004-07-06,13150,13150,13150,12900,49841
2004-07-07,14700,14700,14700,13200,43339
2004-07-08,16450,16200,16450,15100,19934
2004-07-09,14500,18400,18400,14500,228247
2004-07-12,14800,14100,14850,13000,228788
2004-07-13,16550,15600,16550,15550,175339
2004-07-14,17100,17800,18500,15700,301353
2004-07-15,15050,16950,17100,15050,82858
2004-07-16,13250,14700,14900,13250,92937
2004-07-19,13800,12850,14350,12600,207687
2004-07-20,12150,13500,13900,12150,98653
