date,close,open,high,low,vol
2000-04-14,1960,2000,2130,1950,3080
2000-04-17,1706,1940,1940,1706,2472
2000-04-18,1960,1960,1960,1960,492
2000-04-19,2250,2250,2250,2250,790
2000-04-20,2180,2400,2480,2180,14660
2000-04-21,2110,2190,2240,2000,5614
2000-04-24,2060,2160,2160,2010,3220
2000-04-25,2090,2010,2120,1966,2538
2000-04-26,2000,2090,2100,1992,2912
2000-04-27,1962,1922,2040,1920,748
2000-04-28,2020,1960,2020,1960,1296
2000-05-02,2100,2040,2150,2040,996
2000-05-03,2060,2100,2100,2020,1486
2000-05-04,2060,2070,2100,2020,1102
2000-05-08,2040,2080,2120,2000,2426
2000-05-09,2100,2100,2180,2000,4832
2000-05-10,2020,2060,2140,2020,2784
2000-05-12,2070,2000,2100,1960,4642
2000-05-15,1940,2060,2060,1880,2076
2000-05-16,1880,1902,1920,1880,970
2000-05-17,1790,1900,1900,1724,1316
2000-05-18,1700,1670,1870,1600,1528
2000-05-19,1800,1700,1800,1660,862
2000-05-22,1562,1760,1800,1532,1662
2000-05-23,1602,1600,1652,1570,1386
2000-05-24,1700,1600,1700,1600,1164
2000-05-25,1780,1622,1840,1622,1540
2000-05-26,1642,1780,1780,1620,336
2000-05-29,1620,1600,1664,1600,1270
2000-05-30,1696,1620,1696,1620,558
2000-05-31,1754,1698,1766,1670,1316
2000-06-01,1740,1736,1740,1666,1430
2000-06-02,1740,1726,1800,1726,2056
2000-06-05,1840,1740,1862,1740,2054
2000-06-07,1916,1842,1968,1820,4498
2000-06-08,1850,1920,1920,1800,612
2000-06-09,1800,1782,1816,1734,1250
2000-06-12,1780,1760,1800,1752,1220
2000-06-13,1700,1796,1796,1700,1504
2000-06-14,1670,1700,1700,1668,1056
2000-06-15,1622,1670,1670,1606,842
2000-06-16,1590,1560,1600,1560,1336
2000-06-19,1640,1602,1730,1586,1372
2000-06-20,1660,1612,1660,1612,384
2000-06-21,1624,1642,1660,1622,1036
2000-06-22,1646,1626,1670,1590,1612
2000-06-23,1640,1634,1640,1620,504
2000-06-26,1662,1660,1698,1660,958
2000-06-27,1698,1700,1720,1680,1484
2000-06-28,1700,1710,1750,1682,984
2000-06-29,1716,1720,1720,1684,456
2000-06-30,1712,1716,1720,1672,684
2000-07-03,1802,1724,1900,1686,7622
2000-07-04,1774,1820,1820,1742,1424
2000-07-05,1740,1740,1774,1740,1286
2000-07-06,1760,1706,1878,1706,8888
2000-07-07,1840,1800,1852,1782,3326
2000-07-10,1810,1820,1868,1786,2196
2000-07-11,1860,1830,1894,1800,5784
2000-07-12,1820,1888,1888,1800,2932
2000-07-13,1960,1762,1960,1760,3322
2000-07-14,1894,1800,1894,1800,2418
2000-07-18,1762,1820,1880,1750,2908
2000-07-19,1794,1728,1796,1720,1432
2000-07-20,1680,1640,1774,1640,1716
2000-07-21,1640,1740,1740,1640,1844
2000-07-24,1600,1624,1670,1600,756
2000-07-25,1560,1560,1626,1540,1146
2000-07-26,1620,1616,1620,1570,726
2000-07-27,1600,1600,1620,1560,1010
2000-07-28,1580,1512,1600,1512,1592
2000-07-31,1596,1600,1600,1542,716
2000-08-01,1602,1600,1630,1560,1950
2000-08-02,1580,1602,1640,1580,816
2000-08-03,1638,1600,1640,1600,544
2000-08-04,1630,1658,1658,1580,1162
2000-08-07,1582,1602,1618,1580,242
2000-08-08,1600,1620,1620,1576,108
2000-08-09,1612,1600,1640,1600,1032
2000-08-10,1666,1620,1668,1610,1368
2000-08-11,1690,1642,1730,1624,4724
2000-08-14,1778,1720,1818,1704,3980
2000-08-16,1780,1782,1880,1742,7366
2000-08-17,1794,1802,1802,1730,2984
2000-08-18,1702,1760,1792,1702,2308
2000-08-21,1660,1660,1698,1660,1674
2000-08-22,1640,1660,1700,1632,892
2000-08-23,1698,1642,1744,1642,3502
2000-08-24,1660,1690,1724,1646,1404
2000-08-25,1646,1652,1718,1646,456
2000-08-28,1664,1630,1690,1630,920
2000-08-29,1664,1666,1700,1660,786
2000-08-30,1698,1664,1698,1660,540
2000-08-31,1664,1686,1698,1650,3268
2000-09-01,1718,1698,1720,1698,344
2000-09-04,1828,1720,1836,1720,5772
2000-09-05,1764,1860,1940,1740,10654
2000-09-06,1780,1800,1840,1760,3088
2000-09-07,1740,1760,1900,1728,5238
2000-09-08,1700,1742,1796,1698,5036
2000-09-14,1694,1690,1720,1684,1606
2000-09-15,1710,1696,1758,1696,3366
2000-09-18,1600,1710,1710,1480,2670
2000-09-19,1580,1540,1594,1510,1094
2000-09-20,1620,1600,1650,1600,1354
2000-09-21,1640,1600,1840,1564,3930
2000-09-22,1578,1650,1650,1570,2694
2000-09-25,1602,1590,1638,1586,808
2000-09-26,1682,1620,1700,1620,1530
2000-09-27,1660,1698,1750,1656,1428
2000-09-28,1660,1698,1698,1646,1196
2000-09-29,1668,1680,1720,1640,956
2000-10-02,1680,1660,1698,1646,966
2000-10-04,1760,1700,1770,1668,3122
2000-10-05,1740,1720,1786,1720,1472
2000-10-06,1818,1712,1818,1712,3932
2000-10-09,1768,1818,1900,1768,8496
2000-10-10,1856,1760,1856,1740,6284
2000-10-11,1800,1840,1878,1772,3234
2000-10-12,1850,1800,1900,1770,7822
2000-10-13,1810,1850,1850,1708,3624
2000-10-16,1900,1850,1980,1820,12380
2000-10-17,1880,1898,2060,1860,21136
2000-10-18,1806,1900,1900,1774,4582
2000-10-19,1764,1812,1850,1744,4306
2000-10-20,1812,1786,1918,1778,9818
2000-10-23,1764,1822,1822,1764,2570
2000-10-24,1770,1800,1840,1770,3896
2000-10-25,1772,1782,1828,1760,2678
2000-10-26,1690,1810,1810,1686,2038
2000-10-27,1720,1692,1720,1652,2720
2000-10-30,1680,1740,1740,1624,2160
2000-10-31,1680,1682,1682,1606,1582
2000-11-01,1646,1640,1696,1640,270
2000-11-02,1664,1662,1694,1662,700
2000-11-03,1666,1664,1698,1650,832
2000-11-06,1668,1666,1720,1640,1362
2000-11-07,1662,1660,1780,1652,2712
2000-11-08,1680,1650,1680,1650,766
2000-11-09,1684,1690,1690,1660,292
2000-11-10,1662,1696,1696,1660,724
2000-11-13,1630,1654,1654,1620,754
2000-11-14,1638,1610,1700,1610,430
2000-11-15,1668,1652,1670,1638,906
2000-11-16,1642,1638,1668,1620,876
2000-11-17,1630,1640,1640,1608,434
2000-11-20,1622,1630,1630,1606,658
2000-11-21,1576,1600,1600,1576,1066
2000-11-22,1562,1578,1600,1560,640
2000-11-23,1564,1522,1590,1522,640
2000-11-24,1540,1540,1576,1540,324
2000-11-27,1542,1570,1578,1540,1040
2000-11-28,1520,1550,1550,1508,2568
2000-11-29,1496,1538,1538,1480,840
