date,close,open,high,low,vol
2000-01-04,13250,111500,132500,111500,5672
2000-01-05,12900,130000,134500,124000,4271
2000-01-06,12250,129000,135000,119000,3674
2000-01-07,11200,118500,118500,110000,4166
2000-01-10,12500,121000,125000,113500,4451
2000-01-11,12550,134000,134000,124500,5521
2000-01-12,11750,125000,125000,110500,4671
2000-01-13,11000,116000,116000,105000,3459
2000-01-14,10200,110000,116000,100000,3651
2000-01-17,11000,105000,113000,102000,3861
2000-01-18,11500,110000,116000,109000,2595
2000-01-19,10300,115000,115000,101500,3247
2000-01-20,9900,92000,102000,91000,3753
2000-01-21,9900,95000,103000,93500,3133
2000-01-24,10050,99000,103000,97800,3040
2000-01-25,9600,98000,100500,93000,2761
2000-01-26,9210,97000,100000,91000,2482
2000-01-27,9000,90200,92100,89000,2687
2000-01-28,9180,81100,92000,81100,1532
2000-01-31,9150,86000,94000,85000,1968
2000-02-01,9680,92100,99000,92100,4037
2000-02-02,10400,97000,107500,94000,4317
2000-02-03,10700,105500,115000,105000,3900
2000-02-07,11950,110000,119500,110000,4259
2000-02-08,10550,123000,125000,105500,10828
2000-02-09,11000,108000,114500,105500,8882
2000-02-10,10800,110000,110000,103000,6233
2000-02-11,10600,109000,118500,106000,13738
2000-02-14,10800,109000,115000,99000,10777
2000-02-15,10100,112000,113000,99000,7017
2000-02-16,11300,100000,113000,99000,12671
2000-02-17,12650,126500,126500,126500,1164
2000-02-18,14150,141500,141500,141000,18111
2000-02-21,15450,130000,158000,130000,48172
2000-02-22,14150,164000,165000,136000,26448
2000-02-23,15800,140500,158000,137000,26577
2000-02-24,17650,176500,176500,165000,33088
2000-02-25,19100,177000,197500,176500,47880
2000-02-28,21350,192000,213500,192000,31948
2000-02-29,23900,237000,239000,226000,14707
2000-03-02,26750,267500,267500,267000,5399
2000-03-03,23550,246000,284000,235500,44562
2000-03-06,25400,263500,263500,230000,62266
2000-03-07,22400,240000,240000,224000,15374
2000-03-08,22000,197500,240000,197500,33710
2000-03-09,21850,225000,233000,212500,30368
2000-03-10,22600,225000,240000,224000,19505
2000-03-13,21750,224500,229000,215000,14205
2000-03-14,19150,201500,214000,191500,17789
2000-03-15,21400,192000,214000,192000,19254
2000-03-16,20850,214000,217000,193000,18268
2000-03-17,18600,211000,224000,183500,11568
2000-03-20,16400,182000,185000,164000,8532
2000-03-21,14900,144500,160000,144500,16826
