date,close,open,high,low,vol
1996-07-01,5700,5800,5800,5600,25869
1996-07-02,5600,0,0,0,0
1996-07-03,5600,5600,5600,5500,24985
1996-07-04,5500,5600,5600,5500,20800
1996-07-05,5700,5500,5700,5400,31144
1996-07-06,5600,5700,5700,5600,20185
1996-07-08,5600,5600,5700,5600,10170
1996-07-09,5600,5600,5700,5500,21347
1996-07-10,5500,5600,5600,5500,8520
1996-07-11,5600,5500,5600,5500,23909
1996-07-12,5600,5600,5600,5500,13131
1996-07-13,5500,5600,5600,5500,3677
1996-07-15,5400,5500,5600,5400,19916
1996-07-16,5400,5300,5400,5300,24292
1996-07-18,5500,5500,5500,5400,19183
1996-07-19,5500,5500,5600,5500,17046
1996-07-20,5500,5300,5500,5300,13805
1996-07-22,5400,5400,5500,5400,11679
1996-07-23,5400,5400,5500,5300,16802
1996-07-24,5300,5400,5400,5200,16633
1996-07-25,5200,5300,5300,5200,10016
1996-07-26,5100,5200,5200,5100,5502
1996-07-27,5200,5100,5300,5100,3882
1996-07-29,5300,5200,5300,5200,5997
1996-07-30,5300,5300,5400,5300,5475
1996-07-31,5300,5400,5400,5300,5844
1996-08-01,5300,5300,5400,5300,3073
1996-08-02,5300,5300,5400,5300,8527
1996-08-03,5300,5300,5400,5300,5052
1996-08-05,5300,5300,5400,5300,8385
1996-08-06,5300,5300,5400,5300,9602
1996-08-07,5400,5300,5500,5300,9926
1996-08-08,5500,5400,5500,5400,11504
1996-08-09,5300,5500,5500,5300,16997
1996-08-10,5400,5300,5500,5300,959
1996-08-12,5400,5400,5500,5300,6658
1996-08-13,5400,5300,5500,5300,16706
1996-08-14,5300,5400,5400,5300,20268
1996-08-16,5300,5400,5400,5300,9662
1996-08-17,5300,5300,5400,5300,1582
1996-08-19,5300,5300,5400,5200,23513
1996-08-20,5300,5300,5400,5300,11192
1996-08-21,5300,5300,5300,5300,7800
1996-08-22,5300,5300,5400,5300,6260
1996-08-23,5400,5300,5400,5300,11196
1996-08-24,5300,5400,5400,5300,3254
1996-08-26,5300,5300,5400,5300,11698
1996-08-27,5300,5300,5400,5300,7571
1996-08-28,5200,5300,5300,5200,26519
1996-08-29,5200,5300,5300,5100,6024
1996-08-30,5200,5200,5300,5200,10270
1996-08-31,5200,5200,5300,5200,2461
1996-09-02,5200,5200,5300,5200,14287
1996-09-03,5200,5300,5300,5200,19693
1996-09-04,5300,5200,5400,5200,16992
1996-09-05,5300,5300,5400,5200,16932
1996-09-06,5300,5300,5400,5300,7041
1996-09-07,5300,5300,5300,5300,2415
1996-09-09,5300,5300,5400,5300,16471
1996-09-10,5300,5300,5400,5300,10981
1996-09-11,5300,5300,5400,5300,10976
1996-09-12,5300,5300,5400,5300,12290
1996-09-13,5300,5300,5400,5300,17198
1996-09-14,5300,5300,5400,5300,14133
1996-09-16,5300,5300,5400,5300,15595
1996-09-17,5200,5300,5300,5200,8346
1996-09-18,5300,5200,5400,5200,7670
1996-09-19,5200,5300,5400,5200,17797
1996-09-20,5300,5200,5400,5200,12704
1996-09-21,5400,5200,5400,5200,8056
1996-09-23,5300,5400,5400,5200,29844
1996-09-24,5300,5300,5400,5300,15423
1996-09-25,5300,5300,5400,5300,11953
1996-09-30,5300,5300,5400,5200,10162
1996-10-01,5200,5300,5400,5200,7239
1996-10-02,5200,5200,5300,5200,7938
1996-10-04,5300,5200,5300,5000,9252
1996-10-05,5200,5300,5300,5200,4456
1996-10-07,5200,5200,5300,5100,7273
1996-10-08,5200,5200,5300,5200,10402
1996-10-09,5200,5200,5300,5200,8631
1996-10-10,5200,5300,5300,5200,18796
1996-10-11,5200,5300,5300,5200,17002
1996-10-12,5400,5200,5400,5200,20388
1996-10-14,5400,5300,5500,5300,18877
1996-10-15,5300,5400,5400,5300,16032
1996-10-16,5300,5300,5400,5300,11696
1996-10-17,5300,5300,5400,5300,16062
1996-10-18,5300,5300,5400,5300,27342
1996-10-19,5300,5300,5300,5300,12226
1996-10-21,5300,5300,5400,5300,32168
1996-10-22,5300,5300,5300,5300,19766
1996-10-23,5200,5300,5300,5200,11545
1996-10-24,5200,5300,5300,5200,11852
1996-10-25,5200,5200,5300,5200,11048
1996-10-26,5200,5200,5300,5200,12420
1996-10-28,5300,5200,5300,5200,27234
1996-10-29,5200,5200,5300,5200,17759
1996-10-30,5100,5200,5300,5100,9389
1996-10-31,5100,5100,5200,5100,11188
1996-11-01,5100,5100,5200,5100,6830
1996-11-02,5100,5100,5200,5100,9056
